record_type,dimension,subject_id,transition_count,hip_knee_opposing_count,hip_knee_opposing_fraction,both_improve_fraction,both_worsen_fraction,equivalent_or_mixed_zero_fraction,no_meaningful_tradeoff
SUBJECT,phase,MYOLEG_VP_009,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_010,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_011,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_013,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_014,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_015,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_017,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_018,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_019,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_021,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_022,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_023,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_025,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_026,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_027,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_029,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_030,16008,0,0.0,0.0,1.0,0.0,True
SUBJECT,phase,MYOLEG_VP_031,16008,0,0.0,0.0,1.0,0.0,True
POOLED,phase,ALL_DEVELOPMENT,384192,0,0.0,0.0,1.0,0.0,True
