category,object_type,object_id,object_name,field,current_value,unit_or_normalization,xml_or_runtime_source,target_leg,structural_group,spans_hip,spans_knee,hip_contractile_action,knee_contractile_action,hip_moment_arm_max_abs_m,knee_moment_arm_max_abs_m,taxonomy_family,taxonomy_class,interpretation,notes
BODY_ANTHROPOMETRY,body,4,femur_r,body_inertia,"[0.1694,0.1694,0.0245269]",kg*m^2 principal inertia,compiled mjModel.body_inertia,True,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,principal segment inertia; scale with mass in V1,
BODY_ANTHROPOMETRY,body,4,femur_r,body_ipos,"[0.0,-0.195,-0.0005]",m in body frame,compiled mjModel.body_ipos,True,,,,,,,,SEGMENT_COM_LOCATION,D,inertial frame / COM location,
BODY_ANTHROPOMETRY,body,4,femur_r,body_pos,"[-0.056276,-0.07849,0.07726]",m relative to parent body,compiled mjModel.body_pos,True,,,,,,,,SEGMENT_LENGTH_AND_GEOMETRY,E,"kinematic geometry, not safe as an isolated scalar perturbation",
BODY_ANTHROPOMETRY,body,5,tibia_r,body_mass,3.8,kg,compiled mjModel.body_mass,True,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,segment mass; only eligible with coupled inertia scaling,
BODY_ANTHROPOMETRY,body,5,tibia_r,body_inertia,"[0.0771589,0.0771589,0.00690387]",kg*m^2 principal inertia,compiled mjModel.body_inertia,True,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,principal segment inertia; scale with mass in V1,
BODY_ANTHROPOMETRY,body,5,tibia_r,body_ipos,"[-0.005,-0.175,0.0025]",m in body frame,compiled mjModel.body_ipos,True,,,,,,,,SEGMENT_COM_LOCATION,D,inertial frame / COM location,
BODY_ANTHROPOMETRY,body,5,tibia_r,body_pos,"[-4.6e-07,-0.404425,-0.00126526]",m relative to parent body,compiled mjModel.body_pos,True,,,,,,,,SEGMENT_LENGTH_AND_GEOMETRY,E,"kinematic geometry, not safe as an isolated scalar perturbation",
BODY_ANTHROPOMETRY,body,6,talus_r,body_mass,0.021206492002114875,kg,compiled mjModel.body_mass,True,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,segment mass; only eligible with coupled inertia scaling,
BODY_ANTHROPOMETRY,body,6,talus_r,body_inertia,"[4.212331052216292e-06,2.999863029631613e-06,2.477389102274521e-06]",kg*m^2 principal inertia,compiled mjModel.body_inertia,True,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,principal segment inertia; scale with mass in V1,
BODY_ANTHROPOMETRY,body,6,talus_r,body_ipos,"[0.005937289766267839,0.00034351221135221934,-0.0016839925045132186]",m in body frame,compiled mjModel.body_ipos,True,,,,,,,,SEGMENT_COM_LOCATION,D,inertial frame / COM location,
BODY_ANTHROPOMETRY,body,6,talus_r,body_pos,"[-0.01,-0.4,0.0]",m relative to parent body,compiled mjModel.body_pos,True,,,,,,,,SEGMENT_LENGTH_AND_GEOMETRY,E,"kinematic geometry, not safe as an isolated scalar perturbation",
BODY_ANTHROPOMETRY,body,7,calcn_r,body_mass,1.14,kg,compiled mjModel.body_mass,True,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,segment mass; only eligible with coupled inertia scaling,
BODY_ANTHROPOMETRY,body,7,calcn_r,body_inertia,"[0.00313636,0.00297113,0.000941737]",kg*m^2 principal inertia,compiled mjModel.body_inertia,True,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,principal segment inertia; scale with mass in V1,
BODY_ANTHROPOMETRY,body,7,calcn_r,body_ipos,"[0.0821377,0.0108024,-0.000944392]",m in body frame,compiled mjModel.body_ipos,True,,,,,,,,SEGMENT_COM_LOCATION,D,inertial frame / COM location,
BODY_ANTHROPOMETRY,body,7,calcn_r,body_pos,"[-0.04877,-0.04195,0.00792]",m relative to parent body,compiled mjModel.body_pos,True,,,,,,,,SEGMENT_LENGTH_AND_GEOMETRY,E,"kinematic geometry, not safe as an isolated scalar perturbation",
BODY_ANTHROPOMETRY,body,8,toes_r,body_mass,0.2853650467506339,kg,compiled mjModel.body_mass,True,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,segment mass; only eligible with coupled inertia scaling,
BODY_ANTHROPOMETRY,body,8,toes_r,body_inertia,"[0.00037710827674761763,0.0003187077093792679,0.00010057449143965601]",kg*m^2 principal inertia,compiled mjModel.body_inertia,True,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,principal segment inertia; scale with mass in V1,
BODY_ANTHROPOMETRY,body,8,toes_r,body_ipos,"[0.02280622387930092,-0.00020971407944475525,0.005249453013345129]",m in body frame,compiled mjModel.body_ipos,True,,,,,,,,SEGMENT_COM_LOCATION,D,inertial frame / COM location,
BODY_ANTHROPOMETRY,body,8,toes_r,body_pos,"[0.1788,-0.002,0.00108]",m relative to parent body,compiled mjModel.body_pos,True,,,,,,,,SEGMENT_LENGTH_AND_GEOMETRY,E,"kinematic geometry, not safe as an isolated scalar perturbation",
BODY_ANTHROPOMETRY,body,9,patella_r,body_mass,0.027852860291282953,kg,compiled mjModel.body_mass,True,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,segment mass; only eligible with coupled inertia scaling,
BODY_ANTHROPOMETRY,body,9,patella_r,body_inertia,"[6.768907846858052e-06,4.770825805991685e-06,3.63486922879687e-06]",kg*m^2 principal inertia,compiled mjModel.body_inertia,True,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,principal segment inertia; scale with mass in V1,
BODY_ANTHROPOMETRY,body,9,patella_r,body_ipos,"[0.0024746672472049686,0.027966697748822666,0.0007396985545743595]",m in body frame,compiled mjModel.body_ipos,True,,,,,,,,SEGMENT_COM_LOCATION,D,inertial frame / COM location,
BODY_ANTHROPOMETRY,body,9,patella_r,body_pos,"[-0.00809,-0.40796,0.0]",m relative to parent body,compiled mjModel.body_pos,True,,,,,,,,SEGMENT_LENGTH_AND_GEOMETRY,E,"kinematic geometry, not safe as an isolated scalar perturbation",
BODY_ANTHROPOMETRY,body,10,femur_l,body_mass,8.4,kg,compiled mjModel.body_mass,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,segment mass; only eligible with coupled inertia scaling,
BODY_ANTHROPOMETRY,body,10,femur_l,body_inertia,"[0.1694,0.1694,0.0245269]",kg*m^2 principal inertia,compiled mjModel.body_inertia,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,principal segment inertia; scale with mass in V1,
BODY_ANTHROPOMETRY,body,10,femur_l,body_ipos,"[0.0,-0.195,0.0005]",m in body frame,compiled mjModel.body_ipos,False,,,,,,,,SEGMENT_COM_LOCATION,D,inertial frame / COM location,
BODY_ANTHROPOMETRY,body,10,femur_l,body_pos,"[-0.056276,-0.07849,-0.07726]",m relative to parent body,compiled mjModel.body_pos,False,,,,,,,,SEGMENT_LENGTH_AND_GEOMETRY,E,"kinematic geometry, not safe as an isolated scalar perturbation",
BODY_ANTHROPOMETRY,body,11,tibia_l,body_mass,3.8,kg,compiled mjModel.body_mass,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,segment mass; only eligible with coupled inertia scaling,
BODY_ANTHROPOMETRY,body,11,tibia_l,body_inertia,"[0.0771589,0.0771589,0.00690387]",kg*m^2 principal inertia,compiled mjModel.body_inertia,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,principal segment inertia; scale with mass in V1,
BODY_ANTHROPOMETRY,body,11,tibia_l,body_ipos,"[-0.005,-0.175,-0.0025]",m in body frame,compiled mjModel.body_ipos,False,,,,,,,,SEGMENT_COM_LOCATION,D,inertial frame / COM location,
BODY_ANTHROPOMETRY,body,11,tibia_l,body_pos,"[-4.6e-07,-0.404425,0.00126526]",m relative to parent body,compiled mjModel.body_pos,False,,,,,,,,SEGMENT_LENGTH_AND_GEOMETRY,E,"kinematic geometry, not safe as an isolated scalar perturbation",
BODY_ANTHROPOMETRY,body,12,talus_l,body_mass,0.021206492002114875,kg,compiled mjModel.body_mass,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,segment mass; only eligible with coupled inertia scaling,
BODY_ANTHROPOMETRY,body,12,talus_l,body_inertia,"[4.212331052216293e-06,2.9998630296316133e-06,2.477389102274521e-06]",kg*m^2 principal inertia,compiled mjModel.body_inertia,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,principal segment inertia; scale with mass in V1,
BODY_ANTHROPOMETRY,body,12,talus_l,body_ipos,"[0.005937289766267839,0.00034351221135221966,0.0016839925045132184]",m in body frame,compiled mjModel.body_ipos,False,,,,,,,,SEGMENT_COM_LOCATION,D,inertial frame / COM location,
BODY_ANTHROPOMETRY,body,12,talus_l,body_pos,"[-0.01,-0.4,0.0]",m relative to parent body,compiled mjModel.body_pos,False,,,,,,,,SEGMENT_LENGTH_AND_GEOMETRY,E,"kinematic geometry, not safe as an isolated scalar perturbation",
BODY_ANTHROPOMETRY,body,13,calcn_l,body_mass,1.14,kg,compiled mjModel.body_mass,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,segment mass; only eligible with coupled inertia scaling,
BODY_ANTHROPOMETRY,body,13,calcn_l,body_inertia,"[0.00313636,0.00297113,0.000941737]",kg*m^2 principal inertia,compiled mjModel.body_inertia,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,principal segment inertia; scale with mass in V1,
BODY_ANTHROPOMETRY,body,13,calcn_l,body_ipos,"[0.0821377,0.0108024,0.000944392]",m in body frame,compiled mjModel.body_ipos,False,,,,,,,,SEGMENT_COM_LOCATION,D,inertial frame / COM location,
BODY_ANTHROPOMETRY,body,13,calcn_l,body_pos,"[-0.04877,-0.04195,-0.00792]",m relative to parent body,compiled mjModel.body_pos,False,,,,,,,,SEGMENT_LENGTH_AND_GEOMETRY,E,"kinematic geometry, not safe as an isolated scalar perturbation",
BODY_ANTHROPOMETRY,body,14,toes_l,body_mass,0.2853650467506339,kg,compiled mjModel.body_mass,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,segment mass; only eligible with coupled inertia scaling,
BODY_ANTHROPOMETRY,body,14,toes_l,body_inertia,"[0.00037710827674761763,0.00031870770937926783,0.00010057449143965601]",kg*m^2 principal inertia,compiled mjModel.body_inertia,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,principal segment inertia; scale with mass in V1,
BODY_ANTHROPOMETRY,body,14,toes_l,body_ipos,"[0.022806223879300924,-0.0002097140794447557,-0.00524945301334513]",m in body frame,compiled mjModel.body_ipos,False,,,,,,,,SEGMENT_COM_LOCATION,D,inertial frame / COM location,
BODY_ANTHROPOMETRY,body,14,toes_l,body_pos,"[0.1788,-0.002,-0.00108]",m relative to parent body,compiled mjModel.body_pos,False,,,,,,,,SEGMENT_LENGTH_AND_GEOMETRY,E,"kinematic geometry, not safe as an isolated scalar perturbation",
BODY_ANTHROPOMETRY,body,15,patella_l,body_mass,0.02785286029128296,kg,compiled mjModel.body_mass,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,segment mass; only eligible with coupled inertia scaling,
BODY_ANTHROPOMETRY,body,15,patella_l,body_inertia,"[6.768907846858043e-06,4.7708258059916795e-06,3.6348692287968665e-06]",kg*m^2 principal inertia,compiled mjModel.body_inertia,False,,,,,,,,SEGMENT_MASS_INERTIA_COUPLED_SCALE,A,principal segment inertia; scale with mass in V1,
BODY_ANTHROPOMETRY,body,15,patella_l,body_ipos,"[0.0024746672472049673,0.027966697748822666,-0.000739698554574358]",m in body frame,compiled mjModel.body_ipos,False,,,,,,,,SEGMENT_COM_LOCATION,D,inertial frame / COM location,
BODY_ANTHROPOMETRY,body,15,patella_l,body_pos,"[-0.00809,-0.40796,0.0]",m relative to parent body,compiled mjModel.body_pos,False,,,,,,,,SEGMENT_LENGTH_AND_GEOMETRY,E,"kinematic geometry, not safe as an isolated scalar perturbation",
MUSCLE_ACTUATOR,actuator,0,addbrev_r,force,"{""gainprm_2"":604.625,""biasprm_2"":604.625}",N peak active force F0; also scales passive bias,XML general gainprm/biasprm index 2; muscle shortcut attribute force,True,HIP_ONLY,True,False,MIXED_REQUIRES_REVIEW,NONE,0.025801675337343854,0.0,MUSCLE_FORCE_CAPACITY_SCALE,A,actual MuJoCo muscle force capacity field,transmission=addbrev_r_tendon
MUSCLE_ACTUATOR,actuator,0,addbrev_r,fpmax,"{""gainprm_7"":1.34206,""biasprm_7"":1.34206}",passive force at lmax relative to F0,XML general gainprm/biasprm index 7; muscle shortcut attribute fpmax,True,HIP_ONLY,True,False,MIXED_REQUIRES_REVIEW,NONE,0.025801675337343854,0.0,MUSCLE_PASSIVE_FP_MAX_SCALE,A,passive FLV magnitude parameter,
MUSCLE_ACTUATOR,actuator,0,addbrev_r,range,"[0.381903,1.46199]",scaled muscle length in units of L0,gainprm/biasprm indices 0:2; XML muscle range,True,HIP_ONLY,True,False,MIXED_REQUIRES_REVIEW,NONE,0.025801675337343854,0.0,MUSCLE_OPERATING_RANGE,D,normalized muscle operating range used to infer L0/LT,
MUSCLE_ACTUATOR,actuator,0,addbrev_r,actuator_lengthrange,"[0.0748245,0.186181]",m of tendon transmission length,compiled mjModel.actuator_lengthrange,True,HIP_ONLY,True,False,MIXED_REQUIRES_REVIEW,NONE,0.025801675337343854,0.0,ACTUATOR_LENGTH_RANGE,E,transmission length range; not physiological normalized fiber length,
MUSCLE_ACTUATOR,actuator,0,addbrev_r,lmin_lmax_vmax_fvmax,"{""lmin"":0.0669801,""lmax"":2.99607,""vmax"":10.0,""fvmax"":1.4}",MuJoCo normalized FLV parameters,"gainprm/biasprm indices 4,5,6,8",True,HIP_ONLY,True,False,MIXED_REQUIRES_REVIEW,NONE,0.025801675337343854,0.0,MUSCLE_FLV_SHAPE_OTHER,D,active/passive FLV shape context,
MUSCLE_ACTUATOR,actuator,0,addbrev_r,activation_time_constants,"[0.01,0.04,0.0]","s, s, smoothing control unit",mjModel.actuator_dynprm; XML timeconst/tausmooth,True,HIP_ONLY,True,False,MIXED_REQUIRES_REVIEW,NONE,0.025801675337343854,0.0,MUSCLE_ACTIVATION_TIME_CONSTANTS,B,activation and deactivation dynamics,
MUSCLE_ACTUATOR,actuator,0,addbrev_r,control_range,"[0.0,1.0]","dimensionless neural control [0,1]",mjModel.actuator_ctrlrange,True,HIP_ONLY,True,False,MIXED_REQUIRES_REVIEW,NONE,0.025801675337343854,0.0,LOW_BACKGROUND_ACTIVATION_STATE,B,"state/episode condition, not structural identity",
MUSCLE_ACTUATOR,actuator,0,addbrev_r,tendon_transmission,"{""tendon_id"":0,""tendon_name"":""addbrev_r_tendon""}",named structural mapping,mjModel.actuator_trnid,True,HIP_ONLY,True,False,MIXED_REQUIRES_REVIEW,NONE,0.025801675337343854,0.0,TENDON_PATH_ATTACHMENTS_AND_WRAPS,E,frozen muscle-tendon geometry mapping,
MUSCLE_ACTUATOR,actuator,1,addlong_r,force,"{""gainprm_2"":881.938,""biasprm_2"":881.938}",N peak active force F0; also scales passive bias,XML general gainprm/biasprm index 2; muscle shortcut attribute force,True,HIP_ONLY,True,False,MIXED_REQUIRES_REVIEW,NONE,0.03938386818792327,0.0,MUSCLE_FORCE_CAPACITY_SCALE,A,actual MuJoCo muscle force capacity field,transmission=addlong_r_tendon
MUSCLE_ACTUATOR,actuator,1,addlong_r,fpmax,"{""gainprm_7"":1.50984,""biasprm_7"":1.50984}",passive force at lmax relative to F0,XML general gainprm/biasprm index 7; muscle shortcut attribute fpmax,True,HIP_ONLY,True,False,MIXED_REQUIRES_REVIEW,NONE,0.03938386818792327,0.0,MUSCLE_PASSIVE_FP_MAX_SCALE,A,passive FLV magnitude parameter,
MUSCLE_ACTUATOR,actuator,1,addlong_r,range,"[0.361607,1.56839]",scaled muscle length in units of L0,gainprm/biasprm indices 0:2; XML muscle range,True,HIP_ONLY,True,False,MIXED_REQUIRES_REVIEW,NONE,0.03938386818792327,0.0,MUSCLE_OPERATING_RANGE,D,normalized muscle operating range used to infer L0/LT,
MUSCLE_ACTUATOR,actuator,1,addlong_r,actuator_lengthrange,"[0.170925,0.301499]",m of tendon transmission length,compiled mjModel.actuator_lengthrange,True,HIP_ONLY,True,False,MIXED_REQUIRES_REVIEW,NONE,0.03938386818792327,0.0,ACTUATOR_LENGTH_RANGE,E,transmission length range; not physiological normalized fiber length,
MUSCLE_ACTUATOR,actuator,1,addlong_r,lmin_lmax_vmax_fvmax,"{""lmin"":0.126715,""lmax"":3.5,""vmax"":10.0,""fvmax"":1.4}",MuJoCo normalized FLV parameters,"gainprm/biasprm indices 4,5,6,8",True,HIP_ONLY,True,False,MIXED_REQUIRES_REVIEW,NONE,0.03938386818792327,0.0,MUSCLE_FLV_SHAPE_OTHER,D,active/passive FLV shape context,
MUSCLE_ACTUATOR,actuator,1,addlong_r,activation_time_constants,"[0.01,0.04,0.0]","s, s, smoothing control unit",mjModel.actuator_dynprm; XML timeconst/tausmooth,True,HIP_ONLY,True,False,MIXED_REQUIRES_REVIEW,NONE,0.03938386818792327,0.0,MUSCLE_ACTIVATION_TIME_CONSTANTS,B,activation and deactivation dynamics,
MUSCLE_ACTUATOR,actuator,1,addlong_r,control_range,"[0.0,1.0]","dimensionless neural control [0,1]",mjModel.actuator_ctrlrange,True,HIP_ONLY,True,False,MIXED_REQUIRES_REVIEW,NONE,0.03938386818792327,0.0,LOW_BACKGROUND_ACTIVATION_STATE,B,"state/episode condition, not structural identity",
MUSCLE_ACTUATOR,actuator,1,addlong_r,tendon_transmission,"{""tendon_id"":1,""tendon_name"":""addlong_r_tendon""}",named structural mapping,mjModel.actuator_trnid,True,HIP_ONLY,True,False,MIXED_REQUIRES_REVIEW,NONE,0.03938386818792327,0.0,TENDON_PATH_ATTACHMENTS_AND_WRAPS,E,frozen muscle-tendon geometry mapping,
MUSCLE_ACTUATOR,actuator,2,addmagDist_r,force,"{""gainprm_2"":576.186,""biasprm_2"":576.186}",N peak active force F0; also scales passive bias,XML general gainprm/biasprm index 2; muscle shortcut attribute force,True,HIP_ONLY,True,False,EXTENSOR,NONE,0.051079197213488844,0.0,MUSCLE_FORCE_CAPACITY_SCALE,A,actual MuJoCo muscle force capacity field,transmission=addmagDist_r_tendon
MUSCLE_ACTUATOR,actuator,2,addmagDist_r,fpmax,"{""gainprm_7"":1.60782,""biasprm_7"":1.60782}",passive force at lmax relative to F0,XML general gainprm/biasprm index 7; muscle shortcut attribute fpmax,True,HIP_ONLY,True,False,EXTENSOR,NONE,0.051079197213488844,0.0,MUSCLE_PASSIVE_FP_MAX_SCALE,A,passive FLV magnitude parameter,
MUSCLE_ACTUATOR,actuator,2,addmagDist_r,range,"[0.647072,1.32551]",scaled muscle length in units of L0,gainprm/biasprm indices 0:2; XML muscle range,True,HIP_ONLY,True,False,EXTENSOR,NONE,0.051079197213488844,0.0,MUSCLE_OPERATING_RANGE,D,normalized muscle operating range used to infer L0/LT,
MUSCLE_ACTUATOR,actuator,2,addmagDist_r,actuator_lengthrange,"[0.202042,0.322261]",m of tendon transmission length,compiled mjModel.actuator_lengthrange,True,HIP_ONLY,True,False,EXTENSOR,NONE,0.051079197213488844,0.0,ACTUATOR_LENGTH_RANGE,E,transmission length range; not physiological normalized fiber length,
MUSCLE_ACTUATOR,actuator,2,addmagDist_r,lmin_lmax_vmax_fvmax,"{""lmin"":0.000543367,""lmax"":2.1578,""vmax"":10.0,""fvmax"":1.4}",MuJoCo normalized FLV parameters,"gainprm/biasprm indices 4,5,6,8",True,HIP_ONLY,True,False,EXTENSOR,NONE,0.051079197213488844,0.0,MUSCLE_FLV_SHAPE_OTHER,D,active/passive FLV shape context,
MUSCLE_ACTUATOR,actuator,2,addmagDist_r,activation_time_constants,"[0.01,0.04,0.0]","s, s, smoothing control unit",mjModel.actuator_dynprm; XML timeconst/tausmooth,True,HIP_ONLY,True,False,EXTENSOR,NONE,0.051079197213488844,0.0,MUSCLE_ACTIVATION_TIME_CONSTANTS,B,activation and deactivation dynamics,
MUSCLE_ACTUATOR,actuator,2,addmagDist_r,control_range,"[0.0,1.0]","dimensionless neural control [0,1]",mjModel.actuator_ctrlrange,True,HIP_ONLY,True,False,EXTENSOR,NONE,0.051079197213488844,0.0,LOW_BACKGROUND_ACTIVATION_STATE,B,"state/episode condition, not structural identity",
MUSCLE_ACTUATOR,actuator,2,addmagDist_r,tendon_transmission,"{""tendon_id"":2,""tendon_name"":""addmagDist_r_tendon""}",named structural mapping,mjModel.actuator_trnid,True,HIP_ONLY,True,False,EXTENSOR,NONE,0.051079197213488844,0.0,TENDON_PATH_ATTACHMENTS_AND_WRAPS,E,frozen muscle-tendon geometry mapping,
MUSCLE_ACTUATOR,actuator,3,addmagIsch_r,force,"{""gainprm_2"":564.689,""biasprm_2"":564.689}",N peak active force F0; also scales passive bias,XML general gainprm/biasprm index 2; muscle shortcut attribute force,True,HIP_ONLY,True,False,EXTENSOR,NONE,0.061179234793730435,0.0,MUSCLE_FORCE_CAPACITY_SCALE,A,actual MuJoCo muscle force capacity field,transmission=addmagIsch_r_tendon
MUSCLE_ACTUATOR,actuator,3,addmagIsch_r,fpmax,"{""gainprm_7"":1.6643,""biasprm_7"":1.6643}",passive force at lmax relative to F0,XML general gainprm/biasprm index 7; muscle shortcut attribute fpmax,True,HIP_ONLY,True,False,EXTENSOR,NONE,0.061179234793730435,0.0,MUSCLE_PASSIVE_FP_MAX_SCALE,A,passive FLV magnitude parameter,
MUSCLE_ACTUATOR,actuator,3,addmagIsch_r,range,"[0.662907,1.54717]",scaled muscle length in units of L0,gainprm/biasprm indices 0:2; XML muscle range,True,HIP_ONLY,True,False,EXTENSOR,NONE,0.061179234793730435,0.0,MUSCLE_OPERATING_RANGE,D,normalized muscle operating range used to infer L0/LT,
MUSCLE_ACTUATOR,actuator,3,addmagIsch_r,actuator_lengthrange,"[0.319889,0.458011]",m of tendon transmission length,compiled mjModel.actuator_lengthrange,True,HIP_ONLY,True,False,EXTENSOR,NONE,0.061179234793730435,0.0,ACTUATOR_LENGTH_RANGE,E,transmission length range; not physiological normalized fiber length,
MUSCLE_ACTUATOR,actuator,3,addmagIsch_r,lmin_lmax_vmax_fvmax,"{""lmin"":0.132471,""lmax"":3.5,""vmax"":10.0,""fvmax"":1.4}",MuJoCo normalized FLV parameters,"gainprm/biasprm indices 4,5,6,8",True,HIP_ONLY,True,False,EXTENSOR,NONE,0.061179234793730435,0.0,MUSCLE_FLV_SHAPE_OTHER,D,active/passive FLV shape context,
MUSCLE_ACTUATOR,actuator,3,addmagIsch_r,activation_time_constants,"[0.01,0.04,0.0]","s, s, smoothing control unit",mjModel.actuator_dynprm; XML timeconst/tausmooth,True,HIP_ONLY,True,False,EXTENSOR,NONE,0.061179234793730435,0.0,MUSCLE_ACTIVATION_TIME_CONSTANTS,B,activation and deactivation dynamics,
MUSCLE_ACTUATOR,actuator,3,addmagIsch_r,control_range,"[0.0,1.0]","dimensionless neural control [0,1]",mjModel.actuator_ctrlrange,True,HIP_ONLY,True,False,EXTENSOR,NONE,0.061179234793730435,0.0,LOW_BACKGROUND_ACTIVATION_STATE,B,"state/episode condition, not structural identity",
MUSCLE_ACTUATOR,actuator,3,addmagIsch_r,tendon_transmission,"{""tendon_id"":3,""tendon_name"":""addmagIsch_r_tendon""}",named structural mapping,mjModel.actuator_trnid,True,HIP_ONLY,True,False,EXTENSOR,NONE,0.061179234793730435,0.0,TENDON_PATH_ATTACHMENTS_AND_WRAPS,E,frozen muscle-tendon geometry mapping,
MUSCLE_ACTUATOR,actuator,4,addmagMid_r,force,"{""gainprm_2"":577.178,""biasprm_2"":577.178}",N peak active force F0; also scales passive bias,XML general gainprm/biasprm index 2; muscle shortcut attribute force,True,HIP_ONLY,True,False,EXTENSOR,NONE,0.0380727423972949,0.0,MUSCLE_FORCE_CAPACITY_SCALE,A,actual MuJoCo muscle force capacity field,transmission=addmagMid_r_tendon
MUSCLE_ACTUATOR,actuator,4,addmagMid_r,fpmax,"{""gainprm_7"":1.69396,""biasprm_7"":1.69396}",passive force at lmax relative to F0,XML general gainprm/biasprm index 7; muscle shortcut attribute fpmax,True,HIP_ONLY,True,False,EXTENSOR,NONE,0.0380727423972949,0.0,MUSCLE_PASSIVE_FP_MAX_SCALE,A,passive FLV magnitude parameter,
