sequence_id,cache_sequence_id,scheduled_time_ns,call_start_ns,call_end_ns,query_latency_ms,host_call_start_monotonic_ns,host_call_end_monotonic_ns,latency_ms,success,error_code,error_message,robot_state_at_call,robot_operation_state,latest_rt_sequence,latest_rt_timestamp,latest_rt_timestamp_ns,latest_rt_age_ms,rt_sequence_after_call,rt_updates_during_call,previous_success_latency_ms,time_since_last_success_ms,cartesian_force_raw_n,cartesian_torque_raw_nm,joint_measured_torque_nm,joint_external_torque_nm
11,11,3116311575888400,3116311579825900,3116311580907300,1.0814,3116311579825900,3116311580907300,1.0814,True,,,IDLE,IDLE,67,3116311.5717782,3116311571778200,8.099999744445086,67,0,1.0165,39.9805,"[-5.136318326076063, -5.880841632955798, -8.79652789605705]","[2.7043059442932567, -0.7632605906763005, 0.7560516653842935]","[1.700444444444454, -76.51614243072531, 19.626649932529403, 3.1934627505705806, 0.07305879261939673, 0.7497614332012715]","[1.7004444444444522, -3.7371054225428537, 4.434150215822475, 1.1170411182924198, 0.07848311677294416, 0.749757305651501]"
12,12,3116311625888400,3116311627694700,3116311628914000,1.2193,3116311627694700,3116311628914000,1.2193,True,,,IDLE,IDLE,73,3116311.6200947,3116311620094700,7.668000180274248,73,0,1.0814,48.0067,"[-4.130400677030157, -4.824032117887299, -8.207758197651245]","[2.238684963267419, -0.5127901466210723, 0.6832232827826316]","[1.3448888888888986, -76.51614243072531, 19.120543022381707, 3.092668541034932, -0.04522890945165381, 0.6768988161456411]","[1.3448888888888941, -3.7371145284750042, 3.928028206226438, 1.0162449372312743, -0.039803773558218486, 0.6768946898051279]"
13,13,3116311675888400,3116311683850300,3116311685321600,1.4713,3116311683850300,3116311685321600,1.4713,True,,,IDLE,IDLE,80,3116311.6761517,3116311676151700,7.766399998217821,80,0,1.2193,56.4076,"[-5.869228237331298, -5.497362336308477, -9.088030676901388]","[3.4823637170064288, -0.8652018475125124, 0.7832406067570831]","[1.3448888888888986, -76.51614243072531, 20.03153546064756, 2.9918743314992837, 0.07305879261939673, 0.774048972219815]","[1.344888888888891, -3.7370984197105486, 4.839028741107818, 0.9154516596010023, 0.07848340560683785, 0.7740448452332933]"
14,14,3116311725888400,3116311731684700,3116311732729400,1.0447,3116311731684700,3116311732729400,1.0447,True,,,IDLE,IDLE,86,3116311.7238094,3116311723809400,7.91889987885952,86,0,1.4713,47.4078,"[-5.831274639704642, -6.448886273368124, -8.176844749380983]","[3.44725625138304, -0.7399347781564521, 0.7842363775162671]","[1.878222222222232, -76.13611718217643, 19.93031407861802, 2.9918743314992837, -0.04522890945165381, 0.774048972219815]","[1.8782222222222278, -3.357107089132512, 4.737817071668719, 0.9154529133853502, -0.039804916890539485, 0.7740448443112095]"
15,15,3116311775888400,3116311779935600,3116311781265100,1.3295,3116311779935600,3116311781265100,1.3295,True,,,IDLE,IDLE,92,3116311.7719979,3116311771997900,7.980399765074253,92,0,1.0447,48.5357,"[-3.305984318493778, -5.3992521713629404, -8.310395680654608]","[1.4151683272212157, -0.4472120336776441, 0.7769129715370806]","[1.700444444444454, -76.70615505499975, 18.71565749426355, 3.445448274409701, 0.002086171376766406, 0.774048972219815]","[1.7004444444444515, -3.927180192958758, 3.523147307549511, 1.3690250590842026, 0.007510354769630625, 0.7740448445857219]"
16,16,3116311825888400,3116311836015200,3116311837324600,1.3094,3116311836015200,3116311837324600,1.3094,True,,,IDLE,IDLE,99,3116311.8278158,3116311827815800,8.241199888288975,99,0,1.3295,56.0595,"[-3.358634072787445, -4.594000132607114, -9.255792560076676]","[1.1440709284504342, -0.5937863976430937, 0.6770442875963824]","[1.3448888888888986, -77.08618030354864, 18.81687887629309, 3.4958453791775255, 0.14403141386202706, 0.6768988161456411]","[1.344888888888898, -4.30716241717613, 3.624374076015208, 1.4194228817341417, 0.14945540637069124, 0.6768946882299989]"
17,17,3116311875888400,3116311884006100,3116311885310600,1.3045,3116311884006100,3116311885310600,1.3045,True,,,IDLE,IDLE,105,3116311.876142,3116311876142000,7.905400358140469,105,0,1.3094,47.986,"[-5.917548440001053, -6.197876569237833, -9.205989841977399]","[3.8972153154040385, -0.9222877491803364, 0.8090478178104591]","[1.700444444444454, -76.51614243072531, 20.03153546064756, 2.8910801219636353, 0.12037387344781694, 0.7983365112383585]","[1.7004444444444498, -3.7371323376813876, 4.839038453698258, 0.8146587038497017, 0.12579786600893128, 0.798332383329753]"
18,18,3116311925888400,3116311931805500,3116311933036800,1.2313,3116311931805500,3116311933036800,1.2313,True,,,IDLE,IDLE,111,3116311.9237813,3116311923781300,8.080599829554558,111,0,1.3045,47.7262,"[-6.06105390525394, -5.553067733186159, -8.91087166630928]","[3.7675277500258835, -0.9396151728093384, 0.7839590168178984]","[1.3448888888888986, -76.32612980645088, 20.03153546064756, 2.8910801219636353, 0.12037387344781694, 0.774048972219815]","[1.3448888888888944, -3.5471460057773214, 4.839016335300842, 0.8146558373388544, 0.1257992023035913, 0.7740448462961466]"
19,19,3116311975888400,3116311980063200,3116311981261800,1.1986,3116311980063200,3116311981261800,1.1986,True,,,IDLE,IDLE,117,3116311.971793,3116311971793000,8.310999721288681,117,0,1.2313,48.225,"[-4.084610082061498, -4.668126219908993, -10.397259601344683]","[2.9931045313923477, -0.7773951163074505, 0.7816416218413086]","[1.1671111111111208, -77.46620555209752, 19.322985786440785, 2.9918743314992837, 0.21500403510465738, 0.774048972219815]","[1.167111111111119, -4.687221465097608, 4.130466374767678, 0.9154500493819961, 0.22042965033927095, 0.774044846725512]"
20,20,3116312025888400,3116312035864600,3116312037484400,1.6198,3116312035864600,3116312037484400,1.6198,True,,,IDLE,IDLE,124,3116312.0279978,3116312027997800,7.936699781566858,124,0,1.1986,56.2226,"[-4.014746506511639, -6.1158718565176, -9.15854322331828]","[2.5553310647949927, -0.6660814899856371, 0.7076460797931401]","[2.05600000000001, -76.8961676792742, 19.120543022381707, 3.092668541034932, 0.12037387344781694, 0.7011863551641846]","[2.0560000000000054, -4.117174486336765, 3.928038710156086, 1.016246230442981, 0.1257986769425419, 0.7011822284606243]"
21,21,3116312075888400,3116312084080900,3116312085365200,1.2843,3116312084080900,3116312085365200,1.2843,True,,,IDLE,IDLE,130,3116312.0762571,3116312076257100,7.876900024712086,130,0,1.6198,47.8808,"[-4.816763616734965, -6.340475463561891, -8.755742523765408]","[2.420754489894269, -0.7660150187738124, 0.706045847431595]","[2.05600000000001, -76.51614243072531, 19.424207168470325, 3.243859855338404, 0.12037387344781694, 0.7011863551641846]","[2.0560000000000103, -3.7371422349559396, 4.231695853412246, 1.1674365051265347, 0.1257989657764113, 0.7011822290238732]"
22,22,3116312125888400,3116312166453600,3116312167651900,1.1983,3116312166453600,3116312167651900,1.1983,True,,,IDLE,IDLE,140,3116312.1559347,3116312155934700,10.585700161755085,140,0,1.2843,82.2867,"[-4.071731728314805, -5.123306345396847, -9.79897551484565]","[2.012783689825424, -0.6455678023572298, 0.6808638388404588]","[1.5226666666666764, -77.27619292782308, 19.322985786440785, 3.2942569601062286, 0.09671633303360683, 0.6768988161456411]","[1.5226666666666713, -4.497201047496844, 4.130458581441422, 1.2178315986598083, 0.1021419482157708, 0.6768946906443014]"
23,23,3116312175888400,3116312179928700,3116312180996700,1.068,3116312179928700,3116312180996700,1.068,True,,,IDLE,IDLE,142,3116312.1717591,3116312171759100,8.226299658417702,142,0,1.1983,13.3448,"[-3.1148308999499243, -5.8562854972014975, -8.501167715834601]","[1.5211336646378553, -0.3755464377990286, 0.7052425523536601]","[2.05600000000001, -76.8961676792742, 18.71565749426355, 3.3446540648740526, -0.04522890945165381, 0.7011863551641846]","[2.0560000000000054, -4.117176085274323, 3.5231305755905744, 1.2682287009201372, -0.03980358064832901, 0.7011822292334796]"
24,24,3116312225888400,3116312228049600,3116312229080800,1.0312,3116312228049600,3116312229080800,1.0312,True,,,IDLE,IDLE,148,3116312.2201259,3116312220125900,7.952199783176184,148,0,1.068,48.0841,"[-6.467981323295571, -5.433024076432187, -9.687006460977106]","[3.5052570448606644, -0.9660417992114572, 0.8309901832907916]","[1.1671111111111208, -76.70615505499975, 20.436420988765718, 3.143065645802756, 0.09671633303360683, 0.822624050256902]","[1.1671111111111179, -3.927145988658694, 5.2439008031365475, 1.066641179200635, 0.10214142323163727, 0.8226199239742581]"
25,25,3116312275888400,3116312283882700,3116312285311400,1.4287,3116312283882700,3116312285311400,1.4287,True,,,IDLE,IDLE,155,3116312.2762203,3116312276220300,7.7553000301122665,155,0,1.0312,56.2306,"[-3.0783566852247604, -5.15204068568886, -9.843535453136484]","[2.310462726657437, -0.5477070167462524, 0.8532744547798954]","[1.5226666666666764, -77.46620555209752, 18.81687887629309, 3.1934627505705806, 0.12037387344781694, 0.8469115892754455]","[1.5226666666666722, -4.687196485334141, 3.624358690241589, 1.1170382841093796, 0.1257989640752128, 0.8469074629984261]"
26,26,3116312325888400,3116312340051400,3116312341538000,1.4866,3116312340051400,3116312341538000,1.4866,True,,,IDLE,IDLE,162,3116312.3319257,3116312331925700,8.202199824154377,162,0,1.4287,56.2266,"[-3.8958848025637174, -5.308366616762842, -9.743538482710735]","[2.22694981869883, -0.624693634659907, 0.633539380991146]","[1.700444444444454, -77.27619292782308, 19.221764404411246, 3.143065645802756, 0.09671633303360683, 0.6283237381085541]","[1.7004444444444506, -4.497174755124206, 4.02925931780697, 1.0666431508668621, 0.1021406119211118, 0.6283196106222774]"
27,27,3116312375888400,3116312379791800,3116312381432000,1.6402,3116312379791800,3116312381432000,1.6402,True,,,IDLE,IDLE,167,3116312.3720084,3116312372008400,7.885999977588654,167,0,1.4866,39.894,"[-3.763749405452374, -4.8077856231827205, -8.638648199126465]","[2.408558766321718, -0.586997377369101, 0.7319483106180616]","[1.3448888888888986, -76.70615505499975, 18.918100258322628, 3.0422714362671077, 0.07305879261939673, 0.7254738941827281]","[1.3448888888888957, -3.927145988658694, 3.7255800726934574, 0.9658469696649865, 0.07848388281742719, 0.7254697679000842]"
28,28,3116312425888400,3116312427808100,3116312429282600,1.4745,3116312427808100,3116312429282600,1.4745,True,,,IDLE,IDLE,173,3116312.4205247,3116312420524700,7.377400062978268,173,0,1.6402,47.8506,"[-4.790983252580989, -5.775411843244574, -9.232212892802595]","[1.6736888020032383, -0.6619511520020526, 0.7518967853547841]","[1.700444444444454, -76.8961676792742, 19.626649932529403, 3.596639588713174, 0.025743711790976516, 0.7497614332012715]","[1.7004444444444513, -4.117192244580494, 4.434139173162585, 1.5202163784026586, 0.031168467941521616, 0.7497573064259092]"
29,29,3116312475888400,3116312483922800,3116312485530300,1.6075,3116312483922800,3116312485530300,1.6075,True,,,IDLE,IDLE,180,3116312.476074,3116312476074000,7.9483999870717525,180,0,1.4745,56.2477,"[-4.1699413500093065, -5.2800732413205225, -8.339696884913936]","[1.998668329806748, -0.7757644485770986, 0.7524426492902416]","[1.5226666666666764, -76.32612980645088, 18.918100258322628, 3.2942569601062286, 0.21500403510465738, 0.7497614332012715]","[1.5226666666666722, -3.5471460057773214, 3.7255811329759094, 1.2178326754814477, 0.22042936396043172, 0.7497573072776031]"
30,30,3116312525888400,3116312540144100,3116312541457000,1.3129,3116312540144100,3116312541457000,1.3129,True,,,IDLE,IDLE,187,3116312.5320685,3116312532068500,8.151000365614891,187,0,1.6075,55.9267,"[-2.767976310366952, -4.657825389630602, -8.907805212967997]","[1.90085930679248, -0.2434738725348521, 0.8055138013877448]","[1.3448888888888986, -77.27619292782308, 18.71565749426355, 3.1934627505705806, -0.13985907110849424, 0.7983365112383585]","[1.344888888888894, -4.497158022741857, 3.5231356752768637, 1.1170381071470334, -0.13443364638116403, 0.7983323854610943]"
31,31,3116312575888400,3116312579938500,3116312581298400,1.3599,3116312579938500,3116312581298400,1.3599,True,,,IDLE,IDLE,192,3116312.5720249,3116312572024900,8.002799935638905,192,0,1.3129,39.8414,"[-2.5041971774318976, -5.227404556835578, -9.568540872946276]","[2.711178188230931, -0.4308541708367329, 0.8077750004303895]","[1.700444444444454, -77.46620555209752, 18.51321473020447, 2.8910801219636353, 0.07305879261939673, 0.7983365112383585]","[1.700444444444453, -4.687180326452378, 3.3206783852712043, 0.8146535017183933, 0.07848445547020552, 0.7983323858003719]"
32,32,3116312625888400,3116312627892800,3116312629140500,1.2477,3116312627892800,3116312629140500,1.2477,True,,,IDLE,IDLE,198,3116312.620369,3116312620369000,7.588200271129608,198,0,1.3599,47.8421,"[-4.5087506164542415, -5.244960511351265, -9.518416480753487]","[1.7646787872793188, -0.6508797631136859, 0.6795841888754682]","[1.5226666666666764, -77.08618030354864, 19.525428550499864, 3.445448274409701, 0.04940125220518662, 0.6768988161456411]","[1.5226666666666737, -4.307178240038624, 4.332915367702247, 1.3690248474274687, 0.054826053569321756, 0.6768946892997482]"
33,33,3116312675888400,3116312683784700,3116312684926700,1.142,3116312683784700,3116312684926700,1.142,True,,,IDLE,IDLE,205,3116312.6761771,3116312676177100,7.679300382733345,205,0,1.2477,55.7862,"[-3.053112302074727, -5.333780676161476, -7.815387587391742]","[1.9769924964170715, -0.3733120564192617, 0.7803863616248322]","[1.700444444444454, -76.51614243072531, 18.51321473020447, 3.143065645802756, -0.04522890945165381, 0.774048972219815]","[1.7004444444444515, -3.737123971700086, 3.3207093572738042, 1.0666431533743532, -0.039804344185308344, 0.7740448451629035]"
34,34,3116312725888400,3116312731718700,3116312732835900,1.1172,3116312731718700,3116312732835900,1.1172,True,,,IDLE,IDLE,211,3116312.7241249,3116312724124900,7.6558999717235565,211,0,1.142,47.9092,"[-2.8939538429728318, -5.421958122939785, -8.064872095911609]","[2.133165784476409, -0.3317648795176712, 0.854415297043742]","[1.700444444444454, -76.70615505499975, 18.51321473020447, 3.143065645802756, -0.06888644986586392, 0.8469115892754455]","[1.70044444444445, -3.9271618616399877, 3.320710417556521, 1.066643335351725, -0.06346164594177367, 0.8469074625775096]"
35,35,3116312775888400,3116312787673000,3116312788703300,1.0303,3116312787673000,3116312788703300,1.0303,True,,,IDLE,IDLE,218,3116312.779941,3116312779941000,7.780400104820728,218,0,1.1172,55.8674,"[-4.327081082406569, -5.325039060079423, -8.904701981555453]","[1.9005992201329196, -0.7003753658459633, 0.7526615968680378]","[1.5226666666666764, -76.70615505499975, 19.221764404411246, 3.395051169641877, 0.12037387344781694, 0.7497614332012715]","[1.5226666666666733, -3.927153781985737, 4.0292520121090565, 1.318627782368989, 0.12579896369829704, 0.7497573069256643]"
36,36,3116312825888400,3116312828081200,3116312829320800,1.2396,3116312828081200,3116312829320800,1.2396,True,,,IDLE,IDLE,223,3116312.820263,3116312820263000,7.854499854147434,223,0,1.0303,40.6175,"[-2.880127065255573, -5.143395262355545, -8.611193752520553]","[1.0084500678178068, -0.45977887820265195, 0.7019161892434268]","[1.700444444444454, -76.8961676792742, 18.51321473020447, 3.4958453791775255, 0.07305879261939673, 0.7011863551641846]","[1.7004444444444513, -4.117182515874362, 3.3206942421319816, 1.4194210597175054, 0.07848440491713818, 0.7011822295233365]"
37,37,3116312875888400,3116312884109700,3116312885341500,1.2318,3116312884109700,3116312885341500,1.2318,True,,,IDLE,IDLE,230,3116312.8759584,3116312875958400,8.192799985408783,230,0,1.2396,56.0207,"[-3.7725449077872146, -4.447932331056929, -8.33880361189088]","[2.2701146953742026, -0.421148076377547, 0.7085247374277717]","[1.1671111111111208, -76.70615505499975, 19.019321640352167, 3.0422714362671077, -0.09254399028007403, 0.7011863551641846]","[1.1671111111111192, -3.9271459890810263, 3.8268014551453255, 0.9658469695240663, -0.08711890051140889, 0.7011822288759162]"
38,38,3116312925888400,3116312939898100,3116312941231900,1.3338,3116312939898100,3116312941231900,1.3338,True,,,IDLE,IDLE,237,3116312.931956,3116312931956000,8.018199820071459,237,0,1.2318,55.8904,"[-3.3290906672291705, -5.454565593516698, -7.7783594991131455]","[1.7664534238117093, -0.33528090511463704, 0.803988307070525]","[1.700444444444454, -76.51614243072531, 18.71565749426355, 3.2942569601062286, -0.11620153069428414, 0.7983365112383585]","[1.7004444444444535, -3.7371406539639764, 3.5231445982146514, 1.2178335304755579, -0.11077701613835422, 0.7983323839574759]"
39,39,3116312975888400,3116312979885300,3116312980969400,1.0841,3116312979885300,3116312980969400,1.0841,True,,,IDLE,IDLE,242,3116312.9718231,3116312971823100,8.119099773466587,242,0,1.3338,39.7375,"[-4.654014223103395, -6.33984632710013, -7.831976166869644]","[2.0384816266207397, -0.4572013571275925, 0.7313279051311875]","[2.05600000000001, -76.32612980645088, 19.424207168470325, 3.3446540648740526, -0.16351661152270436, 0.7254738941827281]","[2.056000000000007, -3.5471549444098827, 4.231696981756286, 1.2682308495485541, -0.15809242812984015, 0.725469766548635]"
40,40,3116313025888400,3116313027862700,3116313029155200,1.2925,3116313027862700,3116313029155200,1.2925,True,,,IDLE,IDLE,248,3116313.0199701,3116313019970100,7.954200264066458,248,0,1.0841,48.1858,"[-4.029784083598488, -5.114971386068386, -10.020659594138623]","[2.6378777856962436, -0.7650684986547612, 0.6828388678399134]","[1.5226666666666764, -77.27619292782308, 19.221764404411246, 3.0422714362671077, 0.21500403510465738, 0.6768988161456411]","[1.5226666666666722, -4.497244694600681, 4.029256641128029, 0.9658484376134884, 0.22042817328390468, 0.6768946885820785]"
41,41,3116313075888400,3116313083783700,3116313085426500,1.6428,3116313083783700,3116313085426500,1.6428,True,,,IDLE,IDLE,255,3116313.0759275,3116313075927500,7.946799974888563,255,0,1.2925,56.2713,"[-4.406081131174493, -6.539934062105788, -8.555370247653336]","[2.156098727487009, -0.8763738384991517, 0.7037021792285886]","[2.2337777777777874, -76.32612980645088, 19.019321640352167, 3.2942569601062286, 0.2859766563472877, 0.7011863551641846]","[2.233777777777784, -3.5471557353281895, 3.826812244555878, 1.2178337843492906, 0.29140112819710595, 0.7011822280947528]"
42,42,3116313125888400,3116313140129800,3116313141366600,1.2368,3116313140129800,3116313141366600,1.2368,True,,,IDLE,IDLE,262,3116313.1319611,3116313131961100,8.247700054198503,262,0,1.6428,55.9401,"[-3.882975115591507, -5.242408320282427, -9.171190432853527]","[1.83782269000326, -0.6911494019341593, 0.776725023619555]","[1.5226666666666764, -76.8961676792742, 19.019321640352167, 3.395051169641877, 0.16768895427623715, 0.774048972219815]","[1.5226666666666728, -4.117174772663077, 3.8268176144529367, 1.3186288565424347, 0.17311347139212202, 0.7740448450868893]"
43,43,3116313175888400,3116313179684600,3116313180652900,0.9683,3116313179684600,3116313180652900,0.9683,True,,,IDLE,IDLE,267,3116313.1717588,3116313171758800,7.969700265675783,267,0,1.2368,39.2863,"[-5.024038769919864, -5.532967527172437, -8.862572299103626]","[3.241702391943873, -0.8023087378289984, 0.7583487045244751]","[1.5226666666666764, -76.51614243072531, 19.525428550499864, 2.9414772267314597, 0.12037387344781694, 0.7497614332012715]","[1.5226666666666737, -3.737141444459951, 4.332916444946386, 0.8650538368101586, 0.12579867689009203, 0.7497573064906745]"
44,44,3116313225888400,3116313227670400,3116313228730400,1.06,3116313227670400,3116313228730400,1.06,True,,,IDLE,IDLE,273,3116313.2198518,3116313219851800,7.941500283777714,273,0,0.9683,48.0775,"[-5.325633101017439, -6.6679683837918065, -7.777461118046664]","[3.298674003923474, -0.74487317143637, 0.8077464236495802]","[2.05600000000001, -75.94610455790199, 19.525428550499864, 2.9918743314992837, 0.025743711790976516, 0.7983365112383585]","[2.0560000000000103, -3.1671221207993057, 4.332910788723547, 0.9154500814280699, 0.031168756346026467, 0.7983323850206206]"
45,45,3116313275888400,3116313283695500,3116313284719200,1.0237,3116313283695500,3116313284719200,1.0237,True,,,IDLE,IDLE,280,3116313.2761478,3116313276147800,7.599600125104189,280,0,1.06,55.9888,"[-5.220800051891582, -5.995892143853983, -8.666893105731573]","[2.9548368941139946, -0.6821482566246986, 0.8066298485779494]","[1.700444444444454, -76.51614243072531, 19.727871314558943, 3.143065645802756, -0.0215713690374437, 0.7983365112383585]","[1.7004444444444529, -3.73711696886825, 4.535358938795948, 1.0666421137544817, -0.0161465149372282, 0.7983323847446959]"
46,46,3116313325888400,3116313339874900,3116313341909500,2.0346,3116313339874900,3116313341909500,2.0346,True,,,IDLE,IDLE,287,3116313.3319553,3116313331955300,8.597499690949917,287,0,1.0237,57.1903,"[-4.02506413606021, -6.073222432349021, -9.451105155591417]","[2.302671509630539, -0.6411562398002175, 0.6823391561918614]","[2.05600000000001, -77.08618030354864, 19.221764404411246, 3.1934627505705806, 0.09671633303360683, 0.6768988161456411]","[2.056000000000006, -4.307179316860967, 4.029252298435441, 1.1170393607902, 0.10214113690524722, 0.6768946894406686]"
47,47,3116313375888400,3116313379876000,3116313380988700,1.1127,3116313379876000,3116313380988700,1.1127,True,,,IDLE,IDLE,292,3116313.3718147,3116313371814700,8.114700205624104,292,0,2.0346,39.0792,"[-3.2002431495528976, -4.786644585382995, -8.345702222739291]","[1.1152124332343463, -0.28821756199609233, 0.6311820797485622]","[1.5226666666666764, -76.8961676792742, 18.81687887629309, 3.395051169641877, -0.13985907110849424, 0.6283237381085541]","[1.5226666666666733, -4.117166406260182, 3.624366483990899, 1.318627782368989, -0.13443398085801414, 0.6283196118329469]"
48,48,3116313425888400,3116313427865900,3116313428765300,0.8994,3116313427865900,3116313428765300,0.8994,True,,,IDLE,IDLE,298,3116313.419951,3116313419951000,7.946900092065334,298,0,1.1127,47.7766,"[-5.054770242865611, -4.70814255256616, -9.451590864161133]","[2.6729180961449637, -0.7551963117658453, 0.8288395274418051]","[0.989333333333343, -76.8961676792742, 19.727871314558943, 3.243859855338404, 0.07305879261939673, 0.822624050256902]","[0.9893333333333385, -4.117147857522511, 4.5353645789023105, 1.1674373280747643, 0.07848364132771249, 0.8226199234828112]"
