case_id,bo_variant,access_order,trajectory_id,access_role,query_frozen_before_truth,truth_authorization_token
hip_stiff__matched_linear,BO_A_FULL_FEASIBLE,1,asym_h-1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,26857f469e87202a87f6bdfaf3a097195a9d08d724a902dd036f54ae205d5acc
hip_stiff__matched_linear,BO_A_FULL_FEASIBLE,2,asym_h+1.250_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,a38b65f7304634448a3e43e20c68a3e2bf725c4122fdfa0dec226fe7e1e18b5d
hip_stiff__matched_linear,BO_A_FULL_FEASIBLE,3,asym_h+1.250_k-5.000_p+0.01750,SEQUENTIAL_BO_QUERY,True,f7df9b687a04abb1a903b4ec0b380f17b334046ef9456bdbb990985c49aeaf0d
hip_stiff__matched_linear,BO_A_FULL_FEASIBLE,4,asym_h+1.500_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,1f1329a016b0013953d12c73fdfde6cb36ff0a24c9eb6250c2bcf75e390a1d4c
hip_stiff__matched_linear,BO_A_FULL_FEASIBLE,5,asym_h+1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,3206fa7860d63cb7673d5484476280fc5ae65c12f15eb9053eabc2a65ceb75b6
hip_stiff__matched_linear,BO_B_MODEL_SCREENED,0,REFERENCE,NORMALIZATION_REFERENCE,True,
hip_stiff__matched_linear,BO_B_MODEL_SCREENED,1,asym_h-1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,26857f469e87202a87f6bdfaf3a097195a9d08d724a902dd036f54ae205d5acc
hip_stiff__matched_linear,BO_B_MODEL_SCREENED,2,asym_h-1.000_k-5.000_p+0.01750,SEQUENTIAL_BO_QUERY,True,6e5d00acdab5eb2bd218aaab3ce9b092ac45e25ba8b838f128e994d44f30a71b
hip_stiff__matched_linear,BO_B_MODEL_SCREENED,3,asym_h-1.500_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,4749eba9ef759b2b59c97db9941736a54027e89b2b104059cb36cc482581c88f
hip_stiff__matched_linear,BO_B_MODEL_SCREENED,4,asym_h-1.000_k-5.000_p+0.02750,SEQUENTIAL_BO_QUERY,True,cdbf887d2f5a6060b38980495774e90d42174b6588cd60e1c955454ee81e5413
hip_stiff__matched_linear,BO_B_MODEL_SCREENED,5,asym_h-1.000_k-5.000_p-0.01500,SEQUENTIAL_BO_QUERY,True,783dedcc5ebc90169d69834c43e81c9469d82a6d7b34d9f4978d12490931474e
hip_stiff__matched_linear,POST_ALL_BO_VARIANTS,999,ALL_21025,POST_RUN_ORACLE_EVALUATION,True,
knee_stiff__matched_linear,BO_A_FULL_FEASIBLE,0,REFERENCE,NORMALIZATION_REFERENCE,True,
knee_stiff__matched_linear,BO_A_FULL_FEASIBLE,1,asym_h-1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,26857f469e87202a87f6bdfaf3a097195a9d08d724a902dd036f54ae205d5acc
knee_stiff__matched_linear,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,07857804fb0fc975babac4cf68cee347284dfa45b0ce4fda8575a4d3c71e23f6
knee_stiff__matched_linear,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.02000,SEQUENTIAL_BO_QUERY,True,7256c269f4f757c8b33f4dfe6a796ee6c2f6d768ce7d6d01a772e82fd06a49fe
knee_stiff__matched_linear,BO_A_FULL_FEASIBLE,4,asym_h+2.000_k-5.000_p-0.03000,SEQUENTIAL_BO_QUERY,True,360675e3b51af97b7c24542d68a5fb3882ff7fe0e5b6742dedf3e20279d29841
knee_stiff__matched_linear,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p+0.02750,SEQUENTIAL_BO_QUERY,True,813f4eb0bc02df4eaac2a06d6d497b009ea1fc652956816dd289782d2fd143bd
knee_stiff__matched_linear,BO_B_MODEL_SCREENED,0,REFERENCE,NORMALIZATION_REFERENCE,True,
knee_stiff__matched_linear,BO_B_MODEL_SCREENED,1,asym_h-1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,26857f469e87202a87f6bdfaf3a097195a9d08d724a902dd036f54ae205d5acc
knee_stiff__matched_linear,BO_B_MODEL_SCREENED,2,asym_h-1.000_k-5.000_p+0.02000,SEQUENTIAL_BO_QUERY,True,31e338ac82fdef7dfd426ae409a5fab99bb70f6c1e4ca14521e203636ac268bd
knee_stiff__matched_linear,BO_B_MODEL_SCREENED,3,asym_h-1.000_k-5.000_p-0.03000,SEQUENTIAL_BO_QUERY,True,99576d48278448081a83d126c19c971c21549b990b1b18aab7b55b0653537354
knee_stiff__matched_linear,BO_B_MODEL_SCREENED,4,asym_h-1.000_k-5.000_p+0.02750,SEQUENTIAL_BO_QUERY,True,cdbf887d2f5a6060b38980495774e90d42174b6588cd60e1c955454ee81e5413
knee_stiff__matched_linear,BO_B_MODEL_SCREENED,5,asym_h-1.000_k-5.000_p-0.00250,SEQUENTIAL_BO_QUERY,True,e8dcae9f6b94dde489c7596ff3927236f861186247c4bd44974b0230c0f4a644
knee_stiff__matched_linear,POST_ALL_BO_VARIANTS,999,ALL_21025,POST_RUN_ORACLE_EVALUATION,True,
heavy_leg__matched_linear,BO_A_FULL_FEASIBLE,0,REFERENCE,NORMALIZATION_REFERENCE,True,
heavy_leg__matched_linear,BO_A_FULL_FEASIBLE,1,asym_h-1.000_k-5.000_p+0.00500,SEQUENTIAL_BO_QUERY,True,6dcc80859c709a58546de84662781eae4c62664b911710e5501b20fed695ef35
heavy_leg__matched_linear,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.00250,SEQUENTIAL_BO_QUERY,True,e3dbb5c6fe78895094a587c3dfe5dead8e1327a3da6247a5f44abccb72604797
heavy_leg__matched_linear,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.01250,SEQUENTIAL_BO_QUERY,True,ec54ab64fff0939750e6f1a440841bd98b247c84f05f786af4af0bf9647abb36
heavy_leg__matched_linear,BO_A_FULL_FEASIBLE,4,asym_h+2.000_k-5.000_p+0.00000,SEQUENTIAL_BO_QUERY,True,97ba036986ef6c5015130e71f0a1dc88155c681f1e659a03cb595e0809328b49
heavy_leg__matched_linear,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p+0.00500,SEQUENTIAL_BO_QUERY,True,745aa8a626df8b9a79412ab39cc1eb10e92ae87a997527ef083c306d77aff890
heavy_leg__matched_linear,BO_B_MODEL_SCREENED,0,REFERENCE,NORMALIZATION_REFERENCE,True,
heavy_leg__matched_linear,BO_B_MODEL_SCREENED,1,asym_h-1.000_k-5.000_p+0.00500,SEQUENTIAL_BO_QUERY,True,6dcc80859c709a58546de84662781eae4c62664b911710e5501b20fed695ef35
heavy_leg__matched_linear,BO_B_MODEL_SCREENED,2,asym_h-1.000_k-5.000_p+0.01750,SEQUENTIAL_BO_QUERY,True,6e5d00acdab5eb2bd218aaab3ce9b092ac45e25ba8b838f128e994d44f30a71b
heavy_leg__matched_linear,BO_B_MODEL_SCREENED,3,asym_h-1.000_k-5.000_p+0.00750,SEQUENTIAL_BO_QUERY,True,c662c21a58dd8de12bff72348a4dddebc2385a4d13a42a92acf93bf838b11ac1
heavy_leg__matched_linear,BO_B_MODEL_SCREENED,4,asym_h-1.000_k-5.000_p+0.00250,SEQUENTIAL_BO_QUERY,True,39a68ae6f6f6a4021506087d1a0bb2e808c2b92456ece24c80665abf97cc0084
heavy_leg__matched_linear,BO_B_MODEL_SCREENED,5,asym_h-1.000_k-5.000_p+0.01000,SEQUENTIAL_BO_QUERY,True,6500a41be4e8a8ebdced1af14529f15d882ea89b2c1d479627509b7c6aee9913
heavy_leg__matched_linear,POST_ALL_BO_VARIANTS,999,ALL_21025,POST_RUN_ORACLE_EVALUATION,True,
baseline__nonlinear_stiffness_mild,BO_A_FULL_FEASIBLE,0,REFERENCE,NORMALIZATION_REFERENCE,True,
baseline__nonlinear_stiffness_mild,BO_A_FULL_FEASIBLE,1,asym_h+1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,c5a2cf4719ce2a6f55af464ba5ee754fabe985cff4d9d09b76ad03bb06b55472
baseline__nonlinear_stiffness_mild,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,07857804fb0fc975babac4cf68cee347284dfa45b0ce4fda8575a4d3c71e23f6
baseline__nonlinear_stiffness_mild,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.02000,SEQUENTIAL_BO_QUERY,True,7256c269f4f757c8b33f4dfe6a796ee6c2f6d768ce7d6d01a772e82fd06a49fe
baseline__nonlinear_stiffness_mild,BO_A_FULL_FEASIBLE,4,asym_h+2.000_k-5.000_p-0.02500,SEQUENTIAL_BO_QUERY,True,2fb77943cb28abdc81838806dff9849376ea7d23a4b056912a604917f9946a56
baseline__nonlinear_stiffness_mild,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p-0.00750,SEQUENTIAL_BO_QUERY,True,841282d60671b79926cc76e08c0d6ab9d08f110f30a2233a45854a02667b7d8d
baseline__nonlinear_stiffness_mild,BO_B_MODEL_SCREENED,0,REFERENCE,NORMALIZATION_REFERENCE,True,
baseline__nonlinear_stiffness_mild,BO_B_MODEL_SCREENED,1,asym_h+1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,c5a2cf4719ce2a6f55af464ba5ee754fabe985cff4d9d09b76ad03bb06b55472
baseline__nonlinear_stiffness_mild,BO_B_MODEL_SCREENED,2,asym_h+1.000_k-5.000_p+0.01750,SEQUENTIAL_BO_QUERY,True,21666b670ebfc512914c172e238e9ba575824caff7fdb0f63f200fbbac85e3a8
baseline__nonlinear_stiffness_mild,BO_B_MODEL_SCREENED,3,asym_h+0.250_k-5.000_p+0.02250,SEQUENTIAL_BO_QUERY,True,49b31d2c38acc57c63c44a7552ef572f489c76b7d9dd327c0d2f5fe5aaa57251
baseline__nonlinear_stiffness_mild,BO_B_MODEL_SCREENED,4,asym_h+1.000_k-5.000_p-0.02750,SEQUENTIAL_BO_QUERY,True,a12caccc11509fbdd424f4f6398fb53715cdb8b1dee5993bead4a870942c47db
baseline__nonlinear_stiffness_mild,BO_B_MODEL_SCREENED,5,asym_h+1.000_k-5.000_p-0.01000,SEQUENTIAL_BO_QUERY,True,65a6b601229fe78381324dce7893919289bec0f1b90511b362fc5095c228a7da
baseline__nonlinear_stiffness_mild,POST_ALL_BO_VARIANTS,999,ALL_21025,POST_RUN_ORACLE_EVALUATION,True,
baseline__hip_knee_coupling_mild,BO_A_FULL_FEASIBLE,0,REFERENCE,NORMALIZATION_REFERENCE,True,
baseline__hip_knee_coupling_mild,BO_A_FULL_FEASIBLE,1,asym_h+1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,c5a2cf4719ce2a6f55af464ba5ee754fabe985cff4d9d09b76ad03bb06b55472
baseline__hip_knee_coupling_mild,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,07857804fb0fc975babac4cf68cee347284dfa45b0ce4fda8575a4d3c71e23f6
baseline__hip_knee_coupling_mild,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.02000,SEQUENTIAL_BO_QUERY,True,7256c269f4f757c8b33f4dfe6a796ee6c2f6d768ce7d6d01a772e82fd06a49fe
baseline__hip_knee_coupling_mild,BO_A_FULL_FEASIBLE,4,asym_h+2.000_k-5.000_p-0.01500,SEQUENTIAL_BO_QUERY,True,281881c8987f512f284200b63cda8b6fe38a4f3b42bd93969f3f046ca14f658c
baseline__hip_knee_coupling_mild,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p+0.00500,SEQUENTIAL_BO_QUERY,True,745aa8a626df8b9a79412ab39cc1eb10e92ae87a997527ef083c306d77aff890
baseline__hip_knee_coupling_mild,BO_B_MODEL_SCREENED,0,REFERENCE,NORMALIZATION_REFERENCE,True,
baseline__hip_knee_coupling_mild,BO_B_MODEL_SCREENED,1,asym_h+1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,c5a2cf4719ce2a6f55af464ba5ee754fabe985cff4d9d09b76ad03bb06b55472
baseline__hip_knee_coupling_mild,BO_B_MODEL_SCREENED,2,asym_h+1.000_k-5.000_p+0.02000,SEQUENTIAL_BO_QUERY,True,1b63170547001133b11261064a8eda8078b01e510ce54c04cac4d4c447f4170f
baseline__hip_knee_coupling_mild,BO_B_MODEL_SCREENED,3,asym_h+1.000_k-5.000_p-0.01500,SEQUENTIAL_BO_QUERY,True,ad51834bf09fea7a5f0ba3e43f9ee3c4dfa94236972cf2d383d76bf6fe940fe0
baseline__hip_knee_coupling_mild,BO_B_MODEL_SCREENED,4,asym_h+1.000_k-5.000_p+0.00500,SEQUENTIAL_BO_QUERY,True,7d8e4031691c4233f245ae2bc23faa8dfa61e32fd8e5e3798b6bb6184ddf528f
baseline__hip_knee_coupling_mild,BO_B_MODEL_SCREENED,5,asym_h+1.000_k-5.000_p+0.02750,SEQUENTIAL_BO_QUERY,True,7f257210c456886deaabdb5d2006cba0f904df4f6f9ec25ee25525763c508fff
baseline__hip_knee_coupling_mild,POST_ALL_BO_VARIANTS,999,ALL_21025,POST_RUN_ORACLE_EVALUATION,True,
baseline__nonlinear_damping_mild,BO_A_FULL_FEASIBLE,0,REFERENCE,NORMALIZATION_REFERENCE,True,
baseline__nonlinear_damping_mild,BO_A_FULL_FEASIBLE,1,asym_h+1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,c5a2cf4719ce2a6f55af464ba5ee754fabe985cff4d9d09b76ad03bb06b55472
baseline__nonlinear_damping_mild,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,07857804fb0fc975babac4cf68cee347284dfa45b0ce4fda8575a4d3c71e23f6
baseline__nonlinear_damping_mild,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.01500,SEQUENTIAL_BO_QUERY,True,4fb1ea2d7e082f4e83ecafd59c5a35d90f1fcb3583aa20f8a7d236508d9210a0
baseline__nonlinear_damping_mild,BO_A_FULL_FEASIBLE,4,asym_h+2.000_k-5.000_p+0.02750,SEQUENTIAL_BO_QUERY,True,cf8e2016ad8a98ae39ad8becd8f4a702c78d9d4b47366a5e39aad5bf86199728
baseline__nonlinear_damping_mild,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p+0.02500,SEQUENTIAL_BO_QUERY,True,e73031894d9d795ae8df30ef274a37c2736fcddefdd56897b92e4f8f3583322d
baseline__nonlinear_damping_mild,BO_B_MODEL_SCREENED,0,REFERENCE,NORMALIZATION_REFERENCE,True,
baseline__nonlinear_damping_mild,BO_B_MODEL_SCREENED,1,asym_h+1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,c5a2cf4719ce2a6f55af464ba5ee754fabe985cff4d9d09b76ad03bb06b55472
baseline__nonlinear_damping_mild,BO_B_MODEL_SCREENED,2,asym_h+1.000_k-5.000_p+0.01500,SEQUENTIAL_BO_QUERY,True,6c117784983284c291a9fadd7bc64983dda60f14ba6cd31892244ffb35a4e1ce
baseline__nonlinear_damping_mild,BO_B_MODEL_SCREENED,3,asym_h+1.000_k-5.000_p+0.02750,SEQUENTIAL_BO_QUERY,True,e391a7d282862033808134f513cc4f415bf08cd20f81a80a5e1f0595e49d1050
baseline__nonlinear_damping_mild,BO_B_MODEL_SCREENED,4,asym_h+1.000_k-5.000_p+0.02500,SEQUENTIAL_BO_QUERY,True,4fc3ba784fdeacf23a1175bfe6be9f7e09fdc82b1dc6837314fd05236b07805a
baseline__nonlinear_damping_mild,BO_B_MODEL_SCREENED,5,asym_h+1.000_k-5.000_p-0.02000,SEQUENTIAL_BO_QUERY,True,6d4cf920393ab9952acbb09e4724f7fe631d8197dfece1dc631efbb2e3304737
baseline__nonlinear_damping_mild,POST_ALL_BO_VARIANTS,999,ALL_21025,POST_RUN_ORACLE_EVALUATION,True,
baseline__structured_residual,BO_A_FULL_FEASIBLE,0,REFERENCE,NORMALIZATION_REFERENCE,True,
baseline__structured_residual,BO_A_FULL_FEASIBLE,1,asym_h+1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,c5a2cf4719ce2a6f55af464ba5ee754fabe985cff4d9d09b76ad03bb06b55472
baseline__structured_residual,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.00750,SEQUENTIAL_BO_QUERY,True,fae400901f628dfa2898285eb78df41cf0153f196c41f5a2bc93aaaf48d9bd9c
baseline__structured_residual,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,677fa99e58de790246dd5f14e19d06c7065e5bf26da0c85fc1dc8eccc84505ef
baseline__structured_residual,BO_A_FULL_FEASIBLE,4,asym_h+2.000_k-5.000_p+0.02750,SEQUENTIAL_BO_QUERY,True,cf8e2016ad8a98ae39ad8becd8f4a702c78d9d4b47366a5e39aad5bf86199728
baseline__structured_residual,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p-0.03000,SEQUENTIAL_BO_QUERY,True,c5d65d344e4db0b7b2b71d2822032e2592622eb0cc384f3696fa4f8053dfff84
baseline__structured_residual,BO_B_MODEL_SCREENED,0,REFERENCE,NORMALIZATION_REFERENCE,True,
baseline__structured_residual,BO_B_MODEL_SCREENED,1,asym_h+1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,c5a2cf4719ce2a6f55af464ba5ee754fabe985cff4d9d09b76ad03bb06b55472
baseline__structured_residual,BO_B_MODEL_SCREENED,2,asym_h+1.000_k-5.000_p+0.00500,SEQUENTIAL_BO_QUERY,True,282b075b7ba2f06cdfa0713d0e6367e52f924fcb4c825073d98c2a1222c7aa47
baseline__structured_residual,BO_B_MODEL_SCREENED,3,asym_h+1.000_k-5.000_p+0.02750,SEQUENTIAL_BO_QUERY,True,e391a7d282862033808134f513cc4f415bf08cd20f81a80a5e1f0595e49d1050
baseline__structured_residual,BO_B_MODEL_SCREENED,4,asym_h+1.000_k-5.000_p-0.03000,SEQUENTIAL_BO_QUERY,True,4b911fafaa7e810d88517ef196f2bf7d23441f428ed753f2d2a185029c642cd2
baseline__structured_residual,BO_B_MODEL_SCREENED,5,asym_h+1.000_k-5.000_p+0.02500,SEQUENTIAL_BO_QUERY,True,545a6f0de8a30f83604a007e7cc44c8f12cb5bd12742b146e5d1c9aa146a60f8
baseline__structured_residual,POST_ALL_BO_VARIANTS,999,ALL_21025,POST_RUN_ORACLE_EVALUATION,True,
baseline__combined_mild,BO_A_FULL_FEASIBLE,0,REFERENCE,NORMALIZATION_REFERENCE,True,
baseline__combined_mild,BO_A_FULL_FEASIBLE,1,asym_h+1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,c5a2cf4719ce2a6f55af464ba5ee754fabe985cff4d9d09b76ad03bb06b55472
baseline__combined_mild,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,07857804fb0fc975babac4cf68cee347284dfa45b0ce4fda8575a4d3c71e23f6
baseline__combined_mild,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.02000,SEQUENTIAL_BO_QUERY,True,7256c269f4f757c8b33f4dfe6a796ee6c2f6d768ce7d6d01a772e82fd06a49fe
baseline__combined_mild,BO_A_FULL_FEASIBLE,4,asym_h+2.000_k-5.000_p-0.02250,SEQUENTIAL_BO_QUERY,True,f40511cfb4b65edb4a1c5e87f0b7b2f34dda56d0b230803f36a1c5536cac377c
baseline__combined_mild,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p-0.00500,SEQUENTIAL_BO_QUERY,True,f0d9e336a3323c865afc7e420206b0ef4732553d721fea1a68f58ca8d0bf3164
baseline__combined_mild,BO_B_MODEL_SCREENED,0,REFERENCE,NORMALIZATION_REFERENCE,True,
baseline__combined_mild,BO_B_MODEL_SCREENED,1,asym_h+1.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,c5a2cf4719ce2a6f55af464ba5ee754fabe985cff4d9d09b76ad03bb06b55472
baseline__combined_mild,BO_B_MODEL_SCREENED,2,asym_h+1.000_k-5.000_p+0.02000,SEQUENTIAL_BO_QUERY,True,1b63170547001133b11261064a8eda8078b01e510ce54c04cac4d4c447f4170f
baseline__combined_mild,BO_B_MODEL_SCREENED,3,asym_h+1.000_k-5.000_p-0.03000,SEQUENTIAL_BO_QUERY,True,53a4524dc8e32e521fd24ef4956a918f24988d18a56636143a3014c9c45edbeb
baseline__combined_mild,BO_B_MODEL_SCREENED,4,asym_h+1.000_k-5.000_p-0.01000,SEQUENTIAL_BO_QUERY,True,223a6ea7467e2e484875d3a22a6cd92bbb80ffbaf853f27966ebc9ecd8ea94db
baseline__combined_mild,BO_B_MODEL_SCREENED,5,asym_h+0.250_k-5.000_p+0.01500,SEQUENTIAL_BO_QUERY,True,aac00fa71f6463ced2587274593d14319ae042d49172ddc4586f0dc49c14fdc6
baseline__combined_mild,POST_ALL_BO_VARIANTS,999,ALL_21025,POST_RUN_ORACLE_EVALUATION,True,
prospective_subject_001__matched_linear,BO_A_FULL_FEASIBLE,0,REFERENCE,NORMALIZATION_REFERENCE,True,
prospective_subject_001__matched_linear,BO_A_FULL_FEASIBLE,1,asym_h-1.000_k-5.000_p+0.01500,SEQUENTIAL_BO_QUERY,True,5c1f11b528d0431435738ee19d839930182f7168094b4b64fe7f67e0742651a5
prospective_subject_001__matched_linear,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.01250,SEQUENTIAL_BO_QUERY,True,96a5022e3bcb5cabb4d6037d57ad20f8aae09dc80863ead773b52dcc99c69bf6
prospective_subject_001__matched_linear,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.02500,SEQUENTIAL_BO_QUERY,True,94a634020dfcca2e26288c28a69228eee49cbd8e59d55cc3b5d23bbe72c375bb
prospective_subject_001__matched_linear,BO_A_FULL_FEASIBLE,4,asym_h+2.000_k-5.000_p+0.00250,SEQUENTIAL_BO_QUERY,True,f5ba81c3be64b296aece39a7c867fed84d140cd2492ab20652fc1d9ddd369cf2
prospective_subject_001__matched_linear,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p+0.01500,SEQUENTIAL_BO_QUERY,True,2d4e9922e2a64cd55eb2299e56a0cc10606f720727a3844bb05f82a02c0b1a0f
prospective_subject_001__matched_linear,BO_B_MODEL_SCREENED,0,REFERENCE,NORMALIZATION_REFERENCE,True,
prospective_subject_001__matched_linear,BO_B_MODEL_SCREENED,1,asym_h-1.000_k-5.000_p+0.01500,SEQUENTIAL_BO_QUERY,True,5c1f11b528d0431435738ee19d839930182f7168094b4b64fe7f67e0742651a5
prospective_subject_001__matched_linear,BO_B_MODEL_SCREENED,2,asym_h-1.000_k-5.000_p+0.02750,SEQUENTIAL_BO_QUERY,True,b69802b6ca54f1c76bd327e623a61e885c629823cafe02cf3e9f16deea95968b
prospective_subject_001__matched_linear,BO_B_MODEL_SCREENED,3,asym_h-1.000_k-5.000_p+0.00500,SEQUENTIAL_BO_QUERY,True,2bfa155e9f26e183085489ef16dd1b3ee8be120d3a8739e92379ad577063a4ec
prospective_subject_001__matched_linear,BO_B_MODEL_SCREENED,4,asym_h-1.000_k-5.000_p+0.01750,SEQUENTIAL_BO_QUERY,True,c054eab1f000bc260692912fa86714179e2134e178c226c499e06b67454c8665
prospective_subject_001__matched_linear,BO_B_MODEL_SCREENED,5,asym_h-1.000_k-5.000_p+0.01250,SEQUENTIAL_BO_QUERY,True,a766082753cf573813d8124bdf046d4ef07071d867a2acd80ca0501063e42192
prospective_subject_001__matched_linear,POST_ALL_BO_VARIANTS,999,ALL_21025,POST_RUN_ORACLE_EVALUATION,True,
prospective_subject_001__nonlinear_stiffness_strong,BO_A_FULL_FEASIBLE,0,REFERENCE,NORMALIZATION_REFERENCE,True,
prospective_subject_001__nonlinear_stiffness_strong,BO_A_FULL_FEASIBLE,1,asym_h-5.000_k-5.000_p+0.03000,SEQUENTIAL_BO_QUERY,True,973de2d68edf561b94e3ff86fc042eebaed6c5f462457980db52b2f54bb5f6be
prospective_subject_001__nonlinear_stiffness_strong,BO_A_FULL_FEASIBLE,2,asym_h-5.000_k-5.000_p+0.01750,SEQUENTIAL_BO_QUERY,True,b220eb5d5d0dadabe1f0717ad670871f7c85b1a51266a40cabdeaed191e91a0b
