candidate_id,calibration_scope,excluded_evaluation_case_id,calibration_pair_count,calibration_case_count,candidate_uncertainty_bound,evidence_role,candidate_status,threshold_frozen,current_P2_modified,heldout_final_test_used
LOCAL_MAX_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__structured_residual,335,8,0.00170839435891,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P95_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__structured_residual,335,8,1.3708585372e-06,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P99_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,baseline__structured_residual,335,8,0.000914114535507,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_MAX_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,heavy_leg__matched_linear,265,8,0.00170839435891,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P95_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,heavy_leg__matched_linear,265,8,4.450408659e-05,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P99_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,heavy_leg__matched_linear,265,8,0.00122023734259,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_MAX_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,hip_stiff__matched_linear,265,8,0.00170839435891,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P95_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,hip_stiff__matched_linear,265,8,4.450408659e-05,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P99_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,hip_stiff__matched_linear,265,8,0.00122023734259,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_MAX_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,knee_stiff__matched_linear,287,8,0.00170839435891,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P95_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,knee_stiff__matched_linear,287,8,4.17454646833e-05,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
LOCAL_P99_UNCERTAINTY_CANDIDATE,LEAVE_ONE_CASE_OUT,knee_stiff__matched_linear,287,8,0.00120965931413,RETROSPECTIVE_LOCAL_DECISION_OPPORTUNITY_CANDIDATE_NOT_DESIGNATED_VALIDATION,RESEARCH_CANDIDATE_ONLY_REQUIRES_INDEPENDENT_DESIGNATED_VALIDATION,False,False,False
