pair_id,selection_hash,coordinate,trust_level,trust_step,location_class,trajectory_i,trajectory_j,alpha_i_hip,alpha_i_knee,alpha_i_phase,alpha_j_hip,alpha_j_knee,alpha_j_phase,delta_alpha_hip,delta_alpha_knee,delta_alpha_phase,alpha_distance_formal_grid_steps,alpha_distance_definition,canonical_orientation,reverse_pair_error_is_symmetric,inside_existing_generator_bounds,geometrically_admissible_pair,search_range_expanded,truth_used_for_pair_enumeration,final_truth_landscape_used_for_pair_enumeration,within_stratum_hash_rank,predicted_delta_J,truth_delta_J,e_delta_J,outcome_status,used_for_model_fitting,used_for_adaptation_update,heldout_final_test,used_by_P2_V1,formal_P2_V2_guard_input,threshold_frozen,plan_must_be_hashed_before_outcome_evaluation
dlv_pair_001c055735d42b21832d3c3f,001c055735d42b21832d3c3f3dcd6d483e8a8fba8c2a615385a8c1cd996245d5,hip,MINIMUM,0.25,INTERIOR,asym_h-4.500_k-0.500_p+0.00500,asym_h-4.250_k-0.500_p+0.00500,-4.5,-0.5,0.005,-4.25,-0.5,0.005,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,11,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_002354f0f9f307634face039,002354f0f9f307634face0395385d31557009c037e278d03208c3c2c5c3caaf5,hip,MINIMUM,0.25,INTERIOR,asym_h-1.500_k+1.250_p+0.02000,asym_h-1.250_k+1.250_p+0.02000,-1.5,1.25,0.02,-1.25,1.25,0.02,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,12,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_0002c70b5d52c25bbd3d03aa,0002c70b5d52c25bbd3d03aae328e1e00a7f4fb03de69419f173a5ad5ba23bec,hip,MINIMUM,0.25,LOWER_EDGE,asym_h-5.000_k+1.250_p-0.01000,asym_h-4.750_k+1.250_p-0.01000,-5,1.25,-0.01,-4.75,1.25,-0.01,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,1,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_006d887e67496d3ff3ff10ee,006d887e67496d3ff3ff10eea1998669ab61e73117bddc8be3a2e8333605584e,hip,MINIMUM,0.25,LOWER_EDGE,asym_h-5.000_k-0.750_p+0.01750,asym_h-4.750_k-0.750_p+0.01750,-5,-0.75,0.0175,-4.75,-0.75,0.0175,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,2,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_0074f4f3c69a16e98ad030b5,0074f4f3c69a16e98ad030b5eded49f118c5417ab869027e9d9959106b676b3e,hip,MINIMUM,0.25,LOWER_EDGE,asym_h-5.000_k-3.250_p+0.01250,asym_h-4.750_k-3.250_p+0.01250,-5,-3.25,0.0125,-4.75,-3.25,0.0125,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,3,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_00bcbc3a6a79a05d207cdc19,00bcbc3a6a79a05d207cdc19824c1e07d4aea55a054379fac6c27c0ec9d0ffdf,hip,MINIMUM,0.25,LOWER_EDGE,asym_h-5.000_k+2.000_p+0.01500,asym_h-4.750_k+2.000_p+0.01500,-5,2,0.015,-4.75,2,0.015,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,4,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_00cae58979cbfc908dc8c42c,00cae58979cbfc908dc8c42c0e996d20c2234c0b43f73e5050e0a12ea0153b5b,hip,MINIMUM,0.25,LOWER_EDGE,asym_h-5.000_k+1.750_p-0.00250,asym_h-4.750_k+1.750_p-0.00250,-5,1.75,-0.0025,-4.75,1.75,-0.0025,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,5,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_00d00b09cb7f179ce7afa2c7,00d00b09cb7f179ce7afa2c79961a067fd948f51f2665ea3f5d89a224bb24286,hip,MINIMUM,0.25,LOWER_EDGE,asym_h-5.000_k+2.000_p-0.00250,asym_h-4.750_k+2.000_p-0.00250,-5,2,-0.0025,-4.75,2,-0.0025,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,6,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_0206a628f5048139f34eb0eb,0206a628f5048139f34eb0ebc6511be36c43d5c21d88ff2c85f8f061f30c5230,hip,MINIMUM,0.25,LOWER_EDGE,asym_h-5.000_k-4.500_p+0.00250,asym_h-4.750_k-4.500_p+0.00250,-5,-4.5,0.0025,-4.75,-4.5,0.0025,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,7,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_028f22f53e73f3c1130cda24,028f22f53e73f3c1130cda2493948d49b9605776872910855265599a43419c40,hip,MINIMUM,0.25,LOWER_EDGE,asym_h-5.000_k+1.500_p+0.00750,asym_h-4.750_k+1.500_p+0.00750,-5,1.5,0.0075,-4.75,1.5,0.0075,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,8,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_02b264af0297c083efcec331,02b264af0297c083efcec3312ef11a5fcab9326e0f732cdf41cccbc893f2fbc9,hip,MINIMUM,0.25,LOWER_EDGE,asym_h-5.000_k-3.000_p+0.00000,asym_h-4.750_k-3.000_p+0.00000,-5,-3,0,-4.75,-3,0,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,9,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_02ea28d9ed9c136ddbbe277e,02ea28d9ed9c136ddbbe277e62c4b0018dfbaa0df15e34376f5ee371fdf523ef,hip,MINIMUM,0.25,LOWER_EDGE,asym_h-5.000_k-1.000_p+0.02000,asym_h-4.750_k-1.000_p+0.02000,-5,-1,0.02,-4.75,-1,0.02,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,10,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_038d8fb46f141d9780642297,038d8fb46f141d978064229795f84707757b3187d08b7776002d969c86dac427,hip,MINIMUM,0.25,LOWER_EDGE,asym_h-5.000_k-2.000_p+0.01250,asym_h-4.750_k-2.000_p+0.01250,-5,-2,0.0125,-4.75,-2,0.0125,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,11,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_040050f4a60ec421e5739e47,040050f4a60ec421e5739e475b7c099c79baefe561fdec579c1b974bb7be22ea,hip,MINIMUM,0.25,LOWER_EDGE,asym_h-5.000_k-3.000_p+0.00250,asym_h-4.750_k-3.000_p+0.00250,-5,-3,0.0025,-4.75,-3,0.0025,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,12,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_00203826c5cdc16492ac9319,00203826c5cdc16492ac931928ee4a9df7f723137c0deaab8cfc2d04ca4156f5,hip,MINIMUM,0.25,UPPER_EDGE,asym_h+1.750_k+0.250_p-0.00750,asym_h+2.000_k+0.250_p-0.00750,1.75,0.25,-0.0075,2,0.25,-0.0075,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,1,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_0043c79ce3e9446413f25822,0043c79ce3e9446413f258223edf545b151f25635c947c7cc3d6fcfc9147f69b,hip,MINIMUM,0.25,UPPER_EDGE,asym_h+1.750_k+1.500_p-0.03000,asym_h+2.000_k+1.500_p-0.03000,1.75,1.5,-0.03,2,1.5,-0.03,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,2,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_007a615d795cf4d54c83be4a,007a615d795cf4d54c83be4aa7489cd7fd0404dffe27b151006b701345137f0a,hip,MINIMUM,0.25,UPPER_EDGE,asym_h+1.750_k-3.750_p+0.00250,asym_h+2.000_k-3.750_p+0.00250,1.75,-3.75,0.0025,2,-3.75,0.0025,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,3,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_0190cac7b08135bbb722a185,0190cac7b08135bbb722a185f2a2f532a353951026aaceb78bc968525e8281f4,hip,MINIMUM,0.25,UPPER_EDGE,asym_h+1.750_k-4.000_p-0.02000,asym_h+2.000_k-4.000_p-0.02000,1.75,-4,-0.02,2,-4,-0.02,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,4,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_026f40cd5d549dc3d61da1ee,026f40cd5d549dc3d61da1ee8cf0010ef509f824a9c4a951dc5377514a990c7c,hip,MINIMUM,0.25,UPPER_EDGE,asym_h+1.750_k-3.500_p+0.01000,asym_h+2.000_k-3.500_p+0.01000,1.75,-3.5,0.01,2,-3.5,0.01,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,5,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_02bd90a783774cede8098f52,02bd90a783774cede8098f522a7d6d3ba48a9e43460edbc229b501462cbdb588,hip,MINIMUM,0.25,UPPER_EDGE,asym_h+1.750_k-0.500_p-0.02500,asym_h+2.000_k-0.500_p-0.02500,1.75,-0.5,-0.025,2,-0.5,-0.025,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,6,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_02dfd321c8f578c855ad8e12,02dfd321c8f578c855ad8e123314ec65193584c56f15fc7ab568952e771d77bc,hip,MINIMUM,0.25,UPPER_EDGE,asym_h+1.750_k-1.250_p-0.00750,asym_h+2.000_k-1.250_p-0.00750,1.75,-1.25,-0.0075,2,-1.25,-0.0075,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,7,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_03369e962bc619c476d59c4e,03369e962bc619c476d59c4e0aa2ae46016da05dd4c2a74b9e9c4ff6b486bdce,hip,MINIMUM,0.25,UPPER_EDGE,asym_h+1.750_k-3.750_p+0.02750,asym_h+2.000_k-3.750_p+0.02750,1.75,-3.75,0.0275,2,-3.75,0.0275,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,8,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_0375aba11632dc07bd63d21d,0375aba11632dc07bd63d21d1c92a424d10a24953994317255a6817b5f8ed7f6,hip,MINIMUM,0.25,UPPER_EDGE,asym_h+1.750_k-0.250_p-0.00500,asym_h+2.000_k-0.250_p-0.00500,1.75,-0.25,-0.005,2,-0.25,-0.005,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,9,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_038b4b62b73130aab6ec0b61,038b4b62b73130aab6ec0b61471322cc588a780995758ac3cc8f2a69d1b651aa,hip,MINIMUM,0.25,UPPER_EDGE,asym_h+1.750_k-0.250_p+0.00750,asym_h+2.000_k-0.250_p+0.00750,1.75,-0.25,0.0075,2,-0.25,0.0075,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,10,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_044a9f03e2e4e1535d97911e,044a9f03e2e4e1535d97911ee2ce7695680894cd6f9d1d08b844d92dd183d356,hip,MINIMUM,0.25,UPPER_EDGE,asym_h+1.750_k+2.000_p+0.01250,asym_h+2.000_k+2.000_p+0.01250,1.75,2,0.0125,2,2,0.0125,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,11,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_0492a8a9c01960c22d9278e0,0492a8a9c01960c22d9278e0b4f4bb68ccb58ae805f63da50f06c39880478cca,hip,MINIMUM,0.25,UPPER_EDGE,asym_h+1.750_k-1.000_p+0.00000,asym_h+2.000_k-1.000_p+0.00000,1.75,-1,0,2,-1,0,0.25,0,0,1,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,12,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_0004c49febb111b2e9bb07fa,0004c49febb111b2e9bb07faabd9e80ec9c8b62ad85c8f327a95d92df47b3ae7,hip,HALF,0.5,INTERIOR,asym_h-4.250_k-1.500_p-0.00250,asym_h-3.750_k-1.500_p-0.00250,-4.25,-1.5,-0.0025,-3.75,-1.5,-0.0025,0.5,0,0,2,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,1,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_000649940aacd97d9a4a09bb,000649940aacd97d9a4a09bb44c71a53334d6e3317410043863215fa86159703,hip,HALF,0.5,INTERIOR,asym_h-3.000_k-1.000_p+0.01500,asym_h-2.500_k-1.000_p+0.01500,-3,-1,0.015,-2.5,-1,0.015,0.5,0,0,2,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,2,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_00075f2e6c465570d20dbfa4,00075f2e6c465570d20dbfa4fa19815b9adf0dc3f8d55b32ec1032df87475c8c,hip,HALF,0.5,INTERIOR,asym_h-0.250_k+1.250_p+0.02250,asym_h+0.250_k+1.250_p+0.02250,-0.25,1.25,0.0225,0.25,1.25,0.0225,0.5,0,0,2,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,3,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_0009fa7776501245a694a460,0009fa7776501245a694a460c1f15cdd175d6e5a0a9b0bada7dfc0de7ffa44cf,hip,HALF,0.5,INTERIOR,asym_h-3.000_k-1.000_p+0.01250,asym_h-2.500_k-1.000_p+0.01250,-3,-1,0.0125,-2.5,-1,0.0125,0.5,0,0,2,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,4,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_001172732ee75469b569ea09,001172732ee75469b569ea094fce79f94494e5f50785faadcf6067f474c3e0c5,hip,HALF,0.5,INTERIOR,asym_h-1.750_k-3.750_p+0.00500,asym_h-1.250_k-3.750_p+0.00500,-1.75,-3.75,0.005,-1.25,-3.75,0.005,0.5,0,0,2,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,5,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_0011b4ebd067d971d307b48c,0011b4ebd067d971d307b48c02cdb39410703d0b4ebd98a317eccee95f197703,hip,HALF,0.5,INTERIOR,asym_h+0.750_k-1.000_p+0.01750,asym_h+1.250_k-1.000_p+0.01750,0.75,-1,0.0175,1.25,-1,0.0175,0.5,0,0,2,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,6,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
dlv_pair_001a3126d1508a1594b4d725,001a3126d1508a1594b4d72564170f599d3b9920b6096f9be10e221ec04ba0d9,hip,HALF,0.5,INTERIOR,asym_h-3.750_k+2.000_p-0.01250,asym_h-3.250_k+2.000_p-0.01250,-3.75,2,-0.0125,-3.25,2,-0.0125,0.5,0,0,2,NORMALIZED_FORMAL_GENERATOR_GRID_NOT_PHYSICAL_DISTANCE,LOWER_COORDINATE_TO_HIGHER_COORDINATE,True,True,True,False,False,False,7,,,,PENDING_INDEPENDENT_EVALUATION_AFTER_PLAN_FREEZE,False,False,False,False,False,False,True
