pair_id,case_id,subject_id,scenario_name,iteration,current_trajectory_id,candidate_trajectory_id,current_alpha_hip,current_alpha_knee,current_alpha_phase,candidate_alpha_hip,candidate_alpha_knee,candidate_alpha_phase,delta_alpha_hip,delta_alpha_knee,delta_alpha_phase,changed_coordinate,signed_coordinate_direction,alpha_distance_formal_grid_steps,alpha_distance_definition,physical_distance_used,inside_existing_generator_bounds,formal_lattice_current_member,formal_lattice_candidate_member,geometrically_admissible_pair,predicted_delta_J,truth_delta_J_posthoc,e_delta_J,model_supported,current_G0_would_exploit,true_improvement_posthoc,local_pair_role,research_metric_only,threshold_frozen,truth_used_by_formal_policy,truth_used_only_for_posthoc_metric,current_P2_modified,search_range_expanded,guard_id,uncertainty_metric,uncertainty_metric_role,would_exploit_counterfactual,missed_improvement_posthoc,false_improvement_posthoc,counterfactual_only,formal_policy_modified,trajectory_executed,truth_used_to_modify_formal_policy
local_pair_a8d0f584dc4cfa5014d3,baseline__matched_linear,baseline,matched_linear,1,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0,0,0,0,-1,0,0,-1,0,knee,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,-0.00590799515335,-0.00590799515327,8.00002425416e-14,False,False,True,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G1_LOCAL_MAX_RESEARCH_METRIC,0.00170839435891,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,True,False,True,False,False,False
local_pair_a8d0f584dc4cfa5014d3,baseline__matched_linear,baseline,matched_linear,1,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0,0,0,0,-1,0,0,-1,0,knee,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,-0.00590799515335,-0.00590799515327,8.00002425416e-14,False,False,True,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G2_LOCAL_P95_RESEARCH_METRIC,4.450408659e-05,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,True,False,True,False,False,False
local_pair_ed0c90895c076ba94066,baseline__matched_linear,baseline,matched_linear,1,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p+0.01000,0,0,0,0,0,0.01,0,0,0.01,phase,POSITIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,-8.74364078128e-05,-8.74364077906e-05,2.22000017111e-14,False,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G0_CURRENT_GLOBAL_GUARD_REPLAY,,CURRENT_P2_BEHAVIOR_REPLAY,False,False,False,False,False,False,False
local_pair_ed0c90895c076ba94066,baseline__matched_linear,baseline,matched_linear,1,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p+0.01000,0,0,0,0,0,0.01,0,0,0.01,phase,POSITIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,-8.74364078128e-05,-8.74364077906e-05,2.22000017111e-14,False,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G1_LOCAL_MAX_RESEARCH_METRIC,0.00170839435891,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,False,False,True,False,False,False
local_pair_ed0c90895c076ba94066,baseline__matched_linear,baseline,matched_linear,1,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p+0.01000,0,0,0,0,0,0.01,0,0,0.01,phase,POSITIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,-8.74364078128e-05,-8.74364077906e-05,2.22000017111e-14,False,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G2_LOCAL_P95_RESEARCH_METRIC,4.450408659e-05,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,False,False,True,False,False,False
local_pair_6ad0d05140ea1b160985,baseline__matched_linear,baseline,matched_linear,1,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p-0.01000,0,0,0,0,0,-0.01,0,0,-0.01,phase,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,9.96539946827e-05,9.96539946587e-05,2.40000077104e-14,False,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G0_CURRENT_GLOBAL_GUARD_REPLAY,,CURRENT_P2_BEHAVIOR_REPLAY,False,False,False,False,False,False,False
local_pair_6ad0d05140ea1b160985,baseline__matched_linear,baseline,matched_linear,1,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p-0.01000,0,0,0,0,0,-0.01,0,0,-0.01,phase,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,9.96539946827e-05,9.96539946587e-05,2.40000077104e-14,False,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G1_LOCAL_MAX_RESEARCH_METRIC,0.00170839435891,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,False,False,True,False,False,False
local_pair_6ad0d05140ea1b160985,baseline__matched_linear,baseline,matched_linear,1,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p-0.01000,0,0,0,0,0,-0.01,0,0,-0.01,phase,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,9.96539946827e-05,9.96539946587e-05,2.40000077104e-14,False,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G2_LOCAL_P95_RESEARCH_METRIC,4.450408659e-05,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,False,False,True,False,False,False
local_pair_bd51fd36c2a730e752ab,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+1.000_k+0.000_p+0.00000,0,0,0,1,0,0,1,0,0,hip,POSITIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,-0.00192506038597,-0.00192506038588,9.00000560189e-14,False,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G0_CURRENT_GLOBAL_GUARD_REPLAY,,CURRENT_P2_BEHAVIOR_REPLAY,False,False,False,False,False,False,False
local_pair_bd51fd36c2a730e752ab,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+1.000_k+0.000_p+0.00000,0,0,0,1,0,0,1,0,0,hip,POSITIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,-0.00192506038597,-0.00192506038588,9.00000560189e-14,False,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G1_LOCAL_MAX_RESEARCH_METRIC,0.00170839435891,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,False,False,True,False,False,False
local_pair_bd51fd36c2a730e752ab,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+1.000_k+0.000_p+0.00000,0,0,0,1,0,0,1,0,0,hip,POSITIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,-0.00192506038597,-0.00192506038588,9.00000560189e-14,False,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G2_LOCAL_P95_RESEARCH_METRIC,4.450408659e-05,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,False,False,True,False,False,False
local_pair_25210044635f67f88f12,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h-1.000_k+0.000_p+0.00000,0,0,0,-1,0,0,-1,0,0,hip,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,0.00196659232957,0.00196659232947,9.99998694962e-14,True,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G0_CURRENT_GLOBAL_GUARD_REPLAY,,CURRENT_P2_BEHAVIOR_REPLAY,False,False,False,False,False,False,False
local_pair_25210044635f67f88f12,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h-1.000_k+0.000_p+0.00000,0,0,0,-1,0,0,-1,0,0,hip,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,0.00196659232957,0.00196659232947,9.99998694962e-14,True,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G1_LOCAL_MAX_RESEARCH_METRIC,0.00170839435891,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,False,False,True,False,False,False
local_pair_25210044635f67f88f12,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h-1.000_k+0.000_p+0.00000,0,0,0,-1,0,0,-1,0,0,hip,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,0.00196659232957,0.00196659232947,9.99998694962e-14,True,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G2_LOCAL_P95_RESEARCH_METRIC,4.450408659e-05,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,False,False,True,False,False,False
local_pair_753d191c07322cde1ce9,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+1.000_p+0.00000,0,0,0,0,1,0,0,1,0,knee,POSITIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,0.00598501751547,0.0059850175154,6.99995617026e-14,False,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G0_CURRENT_GLOBAL_GUARD_REPLAY,,CURRENT_P2_BEHAVIOR_REPLAY,False,False,False,False,False,False,False
local_pair_753d191c07322cde1ce9,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+1.000_p+0.00000,0,0,0,0,1,0,0,1,0,knee,POSITIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,0.00598501751547,0.0059850175154,6.99995617026e-14,False,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G1_LOCAL_MAX_RESEARCH_METRIC,0.00170839435891,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,False,False,True,False,False,False
local_pair_753d191c07322cde1ce9,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+1.000_p+0.00000,0,0,0,0,1,0,0,1,0,knee,POSITIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,0.00598501751547,0.0059850175154,6.99995617026e-14,False,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G2_LOCAL_P95_RESEARCH_METRIC,4.450408659e-05,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,False,False,True,False,False,False
local_pair_193834682c52ae888df6,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0,0,0,0,-1,0,0,-1,0,knee,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,-0.00590799515335,-0.00590799515327,8.00002425416e-14,True,True,True,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G0_CURRENT_GLOBAL_GUARD_REPLAY,,CURRENT_P2_BEHAVIOR_REPLAY,True,False,False,False,False,False,False
local_pair_193834682c52ae888df6,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0,0,0,0,-1,0,0,-1,0,knee,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,-0.00590799515335,-0.00590799515327,8.00002425416e-14,True,True,True,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G1_LOCAL_MAX_RESEARCH_METRIC,0.00170839435891,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,True,False,True,False,False,False
local_pair_193834682c52ae888df6,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k-1.000_p+0.00000,0,0,0,0,-1,0,0,-1,0,knee,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,-0.00590799515335,-0.00590799515327,8.00002425416e-14,True,True,True,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G2_LOCAL_P95_RESEARCH_METRIC,4.450408659e-05,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,True,False,False,True,False,False,False
local_pair_e2f42270c25c47feb8c2,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p+0.01000,0,0,0,0,0,0.01,0,0,0.01,phase,POSITIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,-8.74364078128e-05,-8.74364077906e-05,2.22000017111e-14,True,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G0_CURRENT_GLOBAL_GUARD_REPLAY,,CURRENT_P2_BEHAVIOR_REPLAY,False,False,False,False,False,False,False
local_pair_e2f42270c25c47feb8c2,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p+0.01000,0,0,0,0,0,0.01,0,0,0.01,phase,POSITIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,-8.74364078128e-05,-8.74364077906e-05,2.22000017111e-14,True,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G1_LOCAL_MAX_RESEARCH_METRIC,0.00170839435891,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,False,False,True,False,False,False
local_pair_e2f42270c25c47feb8c2,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p+0.01000,0,0,0,0,0,0.01,0,0,0.01,phase,POSITIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,-8.74364078128e-05,-8.74364077906e-05,2.22000017111e-14,True,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G2_LOCAL_P95_RESEARCH_METRIC,4.450408659e-05,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,False,False,True,False,False,False
local_pair_67998be8696c1c3debd5,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p-0.01000,0,0,0,0,0,-0.01,0,0,-0.01,phase,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,9.96539946827e-05,9.96539946587e-05,2.40000077104e-14,True,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G0_CURRENT_GLOBAL_GUARD_REPLAY,,CURRENT_P2_BEHAVIOR_REPLAY,False,False,False,False,False,False,False
local_pair_67998be8696c1c3debd5,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p-0.01000,0,0,0,0,0,-0.01,0,0,-0.01,phase,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,9.96539946827e-05,9.96539946587e-05,2.40000077104e-14,True,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G1_LOCAL_MAX_RESEARCH_METRIC,0.00170839435891,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,False,False,True,False,False,False
local_pair_67998be8696c1c3debd5,baseline__matched_linear,baseline,matched_linear,2,asym_h+0.000_k+0.000_p+0.00000,asym_h+0.000_k+0.000_p-0.01000,0,0,0,0,0,-0.01,0,0,-0.01,phase,NEGATIVE,4,NORMALIZED_FORMAL_GENERATOR_GRID_L1_NOT_PHYSICAL_DISTANCE,False,True,True,True,True,9.96539946827e-05,9.96539946587e-05,2.40000077104e-14,True,False,False,RETROSPECTIVE_VIRTUAL_LOCAL_PROTOCOL_PROTOTYPE_NOT_FORMAL_CALIBRATION,True,False,False,True,False,False,G2_LOCAL_P95_RESEARCH_METRIC,4.450408659e-05,LEAVE_ONE_CASE_OUT_RESEARCH_METRIC,False,False,False,True,False,False,False
